start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.172328	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.172328	1.515759	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
1.515759	3.315306	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
3.315306	5.130361	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
5.130361	6.891179	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
6.891179	8.713945	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
8.713945	10.478662	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
10.478662	12.278208	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
12.278208	14.066145	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
14.066145	15.849541	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
15.849541	17.574216	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
17.574216	19.29889	E:aug	4	4	1	0	0	0	1	0	0	0	1	0	0	0
19.29889	21.008911	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
21.008911	24.538344	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
24.538344	26.256621	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
26.256621	28.090997	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
28.090997	29.887082	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
29.887082	31.63204	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
31.63204	33.373537	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
33.373537	35.184693	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
35.184693	36.86814	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
36.86814	38.644467	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
38.644467	40.385963	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
40.385963	42.02297	E:aug	4	4	1	0	0	0	1	0	0	0	1	0	0	0
42.02297	43.671587	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
43.671587	47.01526	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
47.01526	53.714217	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
53.714217	60.239024	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
60.239024	63.507321	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
63.507321	67.077301	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
67.077301	68.818798	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
68.818798	70.525464	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
70.525464	72.220521	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
72.220521	73.964525	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
73.964525	75.667368	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
75.667368	77.34838	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
77.34838	79.023968	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
79.023968	80.777074	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
80.777074	82.460521	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
82.460521	84.155578	E:aug	4	4	1	0	0	0	1	0	0	0	1	0	0	0
84.155578	85.780975	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
85.780975	87.499946	D:min7	2	2	1	0	1	0	0	1	0	0	0	1	0	0
87.499946	89.171088	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
89.171088	95.695895	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
95.695895	102.174263	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
102.174263	105.425056	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
105.425056	107.017149	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
107.017149	108.62941	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108.62941	111.798209	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
111.798209	115.003287	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
115.003287	118.137981	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
118.137981	122.812778	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
122.812778	123.324082	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
