start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.497838	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.497838	0.785052	E:(1)	4	4	0	0	0	0	1	0	0	0	0	0	0	0
0.785052	2.250657	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
2.250657	3.446485	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
3.446485	4.619092	G:min7	7	7	0	0	1	0	0	1	0	1	0	0	1	0
4.619092	5.80331	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
5.80331	6.952698	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
6.952698	8.148526	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
8.148526	9.297913	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
9.297913	10.470521	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
10.470521	11.631519	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
11.631519	12.780907	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
12.780907	13.976734	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
13.976734	15.172562	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
15.172562	16.34517	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
16.34517	17.459727	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
17.459727	18.678775	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
18.678775	19.862993	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
19.862993	21.02399	G:min7	7	7	0	0	1	0	0	1	0	1	0	0	1	0
21.02399	22.173378	C:maj(4)	0	0	1	0	0	0	1	1	0	1	0	0	0	0
22.173378	23.357596	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
23.357596	24.495374	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
24.495374	25.679591	G:min7	7	7	0	0	1	0	0	1	0	1	0	0	1	0
25.679591	26.863809	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
26.863809	27.966757	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
27.966757	29.162585	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
29.162585	30.346802	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
30.346802	31.44975	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
31.44975	32.645578	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
32.645578	33.748526	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
33.748526	34.921133	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
34.921133	36.128571	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
36.128571	37.266349	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
37.266349	38.438956	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
38.438956	39.611564	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
39.611564	40.784172	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
40.784172	41.94517	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
41.94517	43.140997	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
43.140997	45.474603	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
45.474603	46.62399	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
46.62399	47.761768	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
47.761768	48.945986	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
48.945986	50.106984	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
50.106984	51.256371	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
51.256371	52.417369	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
52.417369	54.739365	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
54.739365	57.04975	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
57.04975	59.371746	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
59.371746	60.497913	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
60.497913	61.670521	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
61.670521	62.819909	G:min7	7	7	0	0	1	0	0	1	0	1	0	0	1	0
62.819909	63.969297	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
63.969297	65.141904	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
65.141904	66.291292	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
66.291292	67.45229	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
67.45229	68.613287	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
68.613287	69.739455	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
69.739455	70.923673	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
70.923673	71.492562	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
71.492562	72.107891	Bb:min/b3	10	1	0	1	0	0	0	1	0	0	0	0	1	0
72.107891	73.268888	F/5	5	0	1	0	0	0	0	1	0	0	0	1	0	0
73.268888	74.429886	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
74.429886	75.556054	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
75.556054	76.171383	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
76.171383	76.763492	Bb:min/b3	10	1	0	1	0	0	0	1	0	0	0	0	1	0
76.763492	77.924489	F/5	5	0	1	0	0	0	0	1	0	0	0	1	0	0
77.924489	79.062267	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
79.062267	80.211655	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
80.211655	80.815374	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
80.815374	81.442312	Bb:min/b3	10	1	0	1	0	0	0	1	0	0	0	0	1	0
81.442312	81.999591	F/5	5	0	1	0	0	0	0	1	0	0	0	1	0	0
81.999591	82.55687	B:min7	11	11	0	0	1	0	0	0	1	0	0	1	0	1
82.55687	83.717868	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
83.717868	84.867256	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
84.867256	89.534467	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
89.534467	94.062358	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
94.062358	95.188526	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
95.188526	96.361133	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
96.361133	98.671519	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
98.671519	99.797687	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
99.797687	100.981904	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
100.981904	103.715167	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
103.715167	106.03102	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
