start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.421247	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.421247	2.247097	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
2.247097	4.046643	B:min7	11	11	0	0	1	0	0	0	1	0	0	1	0	1
4.046643	7.599297	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
7.599297	9.329183	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
9.329183	11.04746	B:min7	11	11	0	0	1	0	0	0	1	0	0	1	0	1
11.04746	12.870226	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
12.870226	14.600113	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
14.600113	16.469319	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
16.469319	18.187596	B:min7	11	11	0	0	1	0	0	0	1	0	0	1	0	1
18.187596	20.033582	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
20.033582	21.740249	A:min9	9	9	1	0	0	0	1	0	0	1	0	1	0	1
21.740249	25.362562	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
25.362562	27.151313	G:9	7	7	0	0	1	0	0	1	0	1	0	1	0	1
27.151313	28.938435	G:min7	7	7	0	0	1	0	0	1	0	1	0	0	1	0
28.938435	30.714761	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
30.714761	32.506841	B:min7	11	11	0	0	1	0	0	0	1	0	0	1	0	1
32.506841	34.209365	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
34.209365	36.043516	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
36.043516	37.808458	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
37.808458	39.608004	B:min7	11	11	0	0	1	0	0	0	1	0	0	1	0	1
39.608004	41.41916	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
41.41916	43.207097	A:min9	9	9	1	0	0	0	1	0	0	1	0	1	0	1
43.207097	46.79458	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
46.79458	48.570907	G:9	7	7	0	0	1	0	0	1	0	1	0	1	0	1
48.570907	50.393673	G:min7	7	7	0	0	1	0	0	1	0	1	0	0	1	0
50.393673	52.15839	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
52.15839	53.888276	B:min7	11	11	0	0	1	0	0	0	1	0	0	1	0	1
53.888276	55.641383	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
55.641383	57.464149	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
57.464149	59.275306	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
59.275306	61.040381	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
61.040381	64.534625	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
