start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	1.834399	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.834399	8.568185	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
8.568185	11.993129	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
11.993129	15.441292	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
15.441292	18.889455	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
18.889455	22.326009	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
22.326009	29.175895	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
29.175895	32.624058	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
32.624058	36.049002	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
36.049002	39.531995	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
39.531995	43.369339	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
43.369339	56.668321	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56.668321	70.519024	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
70.519024	72.272131	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
72.272131	74.025238	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
74.025238	75.720294	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
75.720294	77.519841	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
77.519841	79.249727	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
79.249727	81.014444	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
81.014444	82.732721	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
82.732721	83.177223	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
83.177223	83.626689	G:7/b2	7	8	0	0	1	0	0	1	0	1	1	0	0	1
83.626689	84.058013	G:7/2	7	9	0	0	1	0	0	1	0	1	0	1	0	1
84.058013	84.485827	G:7/b3	7	10	0	0	1	0	0	1	0	1	0	0	1	1
84.485827	86.296984	E/5	4	11	0	0	0	0	1	0	0	0	1	0	0	1
86.296984	87.95721	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
87.95721	94.911587	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
94.911587	98.39458	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
98.39458	101.865963	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
101.865963	105.302517	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
105.302517	108.72746	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
108.72746	111.328095	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
111.328095	112.256893	G:(1)	7	7	0	0	0	0	0	0	0	1	0	0	0	0
112.256893	114.811088	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
114.811088	115.658616	G:(1)	7	7	0	0	0	0	0	0	0	1	0	0	0	0
115.658616	117.353673	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
117.353673	119.04873	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
119.04873	120.801836	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
120.801836	122.554943	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
122.554943	124.273219	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
124.273219	126.014716	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
126.014716	127.767823	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
127.767823	128.193257	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
128.193257	128.614504	G:7/b2	7	8	0	0	1	0	0	1	0	1	1	0	0	1
128.614504	129.016604	G:7/2	7	9	0	0	1	0	0	1	0	1	0	1	0	1
129.016604	129.462879	G:7/b3	7	10	0	0	1	0	0	1	0	1	0	0	1	1
129.462879	131.169546	E/5	4	11	0	0	0	0	1	0	0	0	1	0	0	1
131.169546	132.852993	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
132.852993	139.818979	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
139.818979	143.336802	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
143.336802	146.761746	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
146.761746	150.175079	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
150.175079	155.095651	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
155.095651	162.678105	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
162.678105	162.925714	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
