start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.98079	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
0.98079	2.414897	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
2.414897	3.900975	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
3.900975	5.421882	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
5.421882	6.942789	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
6.942789	8.533356	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
8.533356	9.996213	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
9.996213	11.54034	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
11.54034	13.107687	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
13.107687	16.2656	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
16.2656	17.786507	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
17.786507	19.365464	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
19.365464	20.944421	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
20.944421	22.500158	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
22.500158	24.090725	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
24.090725	25.646462	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
25.646462	27.248639	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
27.248639	28.839206	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
28.839206	30.406553	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
30.406553	32.02034	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
32.02034	33.587687	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
33.587687	35.155034	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
35.155034	36.75721	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
36.75721	38.370997	B:min7	11	11	0	0	1	0	0	0	1	0	0	1	0	1
38.370997	39.961564	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
39.961564	41.552131	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
41.552131	43.142698	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
43.142698	44.779705	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
44.779705	46.300612	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
46.300612	47.891179	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
47.891179	49.516575	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
49.516575	51.072312	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
51.072312	52.674489	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
52.674489	54.230226	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
54.230226	55.820793	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
55.820793	57.42297	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
57.42297	58.990317	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
58.990317	60.557664	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
60.557664	62.136621	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
62.136621	63.680748	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
63.680748	65.248095	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
65.248095	66.838662	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
66.838662	68.406009	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
68.406009	69.926916	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
69.926916	71.471043	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
71.471043	73.05	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
73.05	76.231133	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
76.231133	77.83331	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
77.83331	79.389047	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
79.389047	81.049274	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
81.049274	82.581791	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
82.581791	84.183968	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
84.183968	85.751315	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
85.751315	87.365102	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
87.365102	88.944058	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
88.944058	90.557845	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
90.557845	92.160022	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
92.160022	93.762199	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
93.762199	95.375986	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
95.375986	98.56873	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
98.56873	100.159297	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
100.159297	101.703424	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
101.703424	103.37526	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
103.37526	104.942607	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
104.942607	106.568004	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
106.568004	108.158571	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
108.158571	109.656258	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
109.656258	111.339705	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
111.339705	112.930272	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
112.930272	114.567278	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
114.567278	116.192675	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
116.192675	117.771632	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
117.771632	119.385419	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
119.385419	121.010816	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
121.010816	122.601383	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
122.601383	124.19195	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
124.19195	125.736077	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
125.736077	127.361473	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
