start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.165431	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.165431	0.588571	E:(1,5)	4	4	0	0	0	0	1	0	0	0	0	0	0	1
0.588571	6.521269	E:(1,b7)/b7	4	2	0	0	1	0	1	0	0	0	0	0	0	0
6.521269	9.435374	C#:(1,b3)	1	1	0	1	0	0	1	0	0	0	0	0	0	0
9.435374	12.244988	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
12.244988	15.089433	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
15.089433	18.003537	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
18.003537	32.295419	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
32.295419	35.197913	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
35.197913	37.995918	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
37.995918	40.910022	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
40.910022	43.754467	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
43.754467	46.610521	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
46.610521	49.466575	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
49.466575	52.29941	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
52.29941	69.517006	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
69.517006	72.361451	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
72.361451	75.217505	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
75.217505	78.05034	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
78.05034	80.906394	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
80.906394	83.832108	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
83.832108	86.664943	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
86.664943	89.474557	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
89.474557	95.221496	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
95.221496	97.938231	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
97.938231	100.829115	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
100.829115	103.743219	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
103.743219	106.703764	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
106.703764	109.548208	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
109.548208	112.462312	C#:(1,b3)/b3	1	4	0	1	0	0	1	0	0	0	0	0	0	0
112.462312	115.283537	C/3	0	4	1	0	0	0	1	0	0	1	0	0	0	0
115.283537	118.116371	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
118.116371	132.710113	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
132.710113	135.566167	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
135.566167	138.364172	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
138.364172	141.301496	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
141.301496	144.28526	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
144.28526	147.036825	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
147.036825	149.916099	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
149.916099	152.725714	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
152.725714	179.651257	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
179.651257	181.753347	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
181.753347	191.665578	E:9	4	4	0	0	1	0	1	0	1	0	1	0	0	1
191.665578	220.179682	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
220.179682	224.450347	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
224.450347	262.247019	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
262.247019	269.688163	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
