start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	1.416923	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.416923	6.768639	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
6.768639	12.701337	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
12.701337	16.4978	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
16.4978	20.665782	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
20.665782	24.497074	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
24.497074	28.630226	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
28.630226	29.640294	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
29.640294	30.627142	C/3	0	4	1	0	0	0	1	0	0	1	0	0	0	0
30.627142	31.60238	C#:dim/b3	1	4	0	1	0	0	1	0	0	1	0	0	0	0
31.60238	32.577619	C/3	0	4	1	0	0	0	1	0	0	1	0	0	0	0
32.577619	34.574535	C:maj7	0	0	1	0	0	0	1	0	0	1	0	0	0	1
34.574535	35.691147	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
35.691147	36.571451	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36.571451	42.03975	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
42.03975	47.995668	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
47.995668	51.792131	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
51.792131	55.983333	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
55.983333	59.756575	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
59.756575	63.970997	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
63.970997	64.957845	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
64.957845	65.944693	C/3	0	4	1	0	0	0	1	0	0	1	0	0	0	0
65.944693	66.954761	C#:dim/b3	1	4	0	1	0	0	1	0	0	1	0	0	0	0
66.954761	67.90678	C/3	0	4	1	0	0	0	1	0	0	1	0	0	0	0
67.90678	69.926916	C:maj7	0	0	1	0	0	0	1	0	0	1	0	0	0	1
69.926916	71.01849	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
71.01849	71.900612	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71.900612	73.897528	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
73.897528	75.848004	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
75.848004	76.556213	A:sus4(2)	9	9	0	0	1	0	1	0	0	0	0	1	0	1
76.556213	77.65916	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
77.65916	78.402199	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
78.402199	79.551587	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
79.551587	81.548503	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
81.548503	83.568639	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
83.568639	84.300068	A:sus4(2)	9	9	0	0	1	0	1	0	0	0	0	1	0	1
84.300068	85.461065	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
85.461065	86.180884	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
86.180884	87.283832	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
87.283832	95.167006	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
95.167006	99.126009	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
99.126009	103.073401	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
103.073401	107.125283	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
107.125283	111.026235	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
111.026235	112.013083	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
112.013083	112.988321	C/3	0	4	1	0	0	0	1	0	0	1	0	0	0	0
112.988321	113.99839	C#:dim/b3	1	4	0	1	0	0	1	0	0	1	0	0	0	0
113.99839	114.950408	C/3	0	4	1	0	0	0	1	0	0	1	0	0	0	0
114.950408	116.935714	C:maj7	0	0	1	0	0	0	1	0	0	1	0	0	0	1
116.935714	117.98758	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
117.98758	118.96746	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118.96746	120.941156	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
120.941156	122.914852	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
122.914852	123.715941	A:sus4(2)	9	9	0	0	1	0	1	0	0	0	0	1	0	1
123.715941	124.795668	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
124.795668	125.561927	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
125.561927	126.722925	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
126.722925	128.696621	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
128.696621	130.693537	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
130.693537	131.436575	E:sus4(2)	4	4	0	0	0	0	1	0	1	0	0	1	0	1
131.436575	132.585963	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
132.585963	133.329002	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
133.329002	134.582879	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
