start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	9.286591	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.286591	10.569481	E:min/3	4	8	0	0	0	0	1	0	0	1	1	0	0	1
10.569481	14.26497	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
14.26497	16.141436	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
16.141436	18.361746	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
18.361746	20.556031	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
20.556031	23.589857	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
23.589857	25.140814	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
25.140814	31.765887	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31.765887	39.99936	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
39.99936	59.127823	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
59.127823	69.639862	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69.639862	75.173522	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
75.173522	77.796744	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
77.796744	79.022191	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79.022191	80.515705	E:min6	4	4	0	1	0	0	1	0	0	1	0	0	0	1
80.515705	82.449614	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
82.449614	83.847389	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83.847389	85.991922	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
85.991922	87.600321	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87.600321	89.208721	Ab:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
89.208721	120.285293	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
120.285293	121.338412	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
121.338412	122.334088	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
122.334088	123.55975	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
123.55975	124.631801	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
124.631801	125.76151	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
125.76151	129.093195	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
129.093195	134.014131	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
134.014131	136.752239	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136.752239	138.801034	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
138.801034	140.773237	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
140.773237	143.970889	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
143.970889	146.048276	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
146.048276	149.740249	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
149.740249	158.830861	A:(1)	9	9	0	0	0	0	0	0	0	0	0	1	0	0
158.830861	168.690455	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
168.690455	169.896754	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
169.896754	172.481682	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
172.481682	182.859687	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
182.859687	183.568149	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
183.568149	184.67871	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
184.67871	185.9616	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
185.9616	191.280748	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
191.280748	192.05054	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
192.05054	192.605821	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
192.605821	192.950478	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
192.950478	193.505759	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
193.505759	195.229044	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
195.229044	195.650291	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
195.650291	196.645967	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
196.645967	196.952329	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
196.952329	197.469314	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
197.469314	197.852267	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
197.852267	199.82447	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
199.82447	200.456342	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200.456342	201.317984	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
201.317984	201.91156	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
201.91156	202.237069	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
202.237069	202.71576	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
202.71576	204.247569	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
204.247569	228.450149	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
228.450149	230.211729	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
230.211729	232.739214	F#:min/5	6	1	0	1	0	0	0	0	1	0	0	1	0	0
232.739214	235.592208	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
235.592208	239.766387	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
239.766387	246.965889	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
246.965889	283.672947	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
283.672947	307.434045	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
307.434045	312.737934	D:(1)	2	2	0	0	1	0	0	0	0	0	0	0	0	0
312.737934	338.146814	D:(1,5)	2	2	0	0	1	0	0	0	0	0	0	1	0	0
338.146814	349.941742	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
349.941742	351.473551	C:maj7	0	0	1	0	0	0	1	0	0	1	0	0	0	1
351.473551	352.698998	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
352.698998	353.503198	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
353.503198	354.977564	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
354.977564	355.820059	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
355.820059	357.485901	C:maj7	0	0	1	0	0	0	1	0	0	1	0	0	0	1
357.485901	403.191249	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
403.191249	404.971977	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
404.971977	409.107861	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
409.107861	412.535283	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
412.535283	413.358631	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
413.358631	416.230772	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
416.230772	421.93676	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
421.93676	435.072022	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
435.072022	439.073872	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
439.073872	443.573561	B:maj7	11	11	0	0	0	1	0	0	1	0	0	0	1	1
443.573561	445.488322	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
445.488322	447.862626	B:maj7	11	11	0	0	0	1	0	0	1	0	0	0	1	1
447.862626	502.204082	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
