start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	1.172266	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.172266	12.585238	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
12.585238	24.369365	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
24.369365	30.209183	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
30.209183	34.603995	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
34.603995	36.037392	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36.037392	47.41517	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
47.41517	59.141247	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
59.141247	64.969455	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
64.969455	70.712128	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
70.712128	72.9339	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
72.9339	73.618888	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
73.618888	75.058526	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
75.058526	76.521383	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
76.521383	87.92238	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
87.92238	99.567188	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
99.567188	105.418616	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
105.418616	111.258435	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
111.258435	113.406281	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
113.406281	114.114489	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
114.114489	115.577346	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
115.577346	117.075034	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
117.075034	122.636213	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
122.636213	134.22297	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
134.22297	145.751678	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
145.751678	151.521836	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
151.521836	163.317573	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
163.317573	169.180612	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
169.180612	175.02043	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
175.02043	177.179886	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
177.179886	177.922925	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
177.922925	179.362562	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
179.362562	180.860249	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
180.860249	192.272857	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
192.272857	256.27589	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
256.27589	260.649796	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
