start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.382952	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.382952	1.329909	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
1.329909	2.270317	F#:min/5	6	1	0	1	0	0	0	0	1	0	0	1	0	0
2.270317	4.139523	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
4.139523	5.093265	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
5.093265	5.993202	E:min/5	4	11	0	0	0	0	1	0	0	1	0	0	0	1
5.993202	6.472388	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
6.472388	6.931435	E:min/b7	4	2	0	0	1	0	1	0	0	1	0	0	0	1
6.931435	7.37183	E:min/6	4	1	0	1	0	0	1	0	0	1	0	0	0	1
7.37183	7.831373	E:min/5	4	11	0	0	0	0	1	0	0	1	0	0	0	1
7.831373	8.74989	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
8.74989	9.693983	A/3	9	1	0	1	0	0	1	0	0	0	0	1	0	0
9.693983	10.560212	A/5	9	4	0	1	0	0	1	0	0	0	0	1	0	0
10.560212	11.500249	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
11.500249	12.39	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
12.39	12.866913	D/7	2	1	0	1	1	0	0	0	1	0	0	1	0	0
12.866913	13.311405	D/6	2	11	0	0	1	0	0	0	1	0	0	1	0	1
13.311405	14.239254	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
14.239254	14.716166	A/2	9	11	0	1	0	0	1	0	0	0	0	1	0	1
14.716166	15.16388	A/3	9	1	0	1	0	0	1	0	0	0	0	1	0	0
15.16388	16.07458	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
16.07458	16.956938	F#:min/5	6	1	0	1	0	0	0	0	1	0	0	1	0	0
16.956938	17.879363	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
17.879363	18.375742	B/5	11	6	0	0	0	1	0	0	1	0	0	0	0	1
18.375742	18.826145	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
18.826145	19.709151	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
19.709151	20.653244	E:min/5	4	11	0	0	0	0	1	0	0	1	0	0	0	1
20.653244	21.100958	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
21.100958	21.568138	E:min/b7	4	2	0	0	1	0	1	0	0	1	0	0	0	1
21.568138	22.045051	E:min/6	4	1	0	1	0	0	1	0	0	1	0	0	0	1
22.045051	22.502498	E:min/5	4	11	0	0	0	0	1	0	0	1	0	0	0	1
22.502498	23.368727	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
23.368727	24.283621	A/3	9	1	0	1	0	0	1	0	0	0	0	1	0	0
24.283621	25.237447	A/5	9	4	0	1	0	0	1	0	0	0	0	1	0	0
25.237447	25.675428	A/3	9	1	0	1	0	0	1	0	0	0	0	1	0	0
25.675428	26.15204	A/5	9	4	0	1	0	0	1	0	0	0	0	1	0	0
26.15204	27.057502	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
27.057502	27.514948	D/7	2	1	0	1	1	0	0	0	1	0	0	1	0	0
27.514948	27.974807	D/6	2	11	0	0	1	0	0	0	1	0	0	1	0	1
27.974807	29.820793	A/3	9	1	0	1	0	0	1	0	0	0	0	1	0	0
29.820793	33.477936	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
33.477936	35.729528	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
35.729528	36.196708	A/3	9	1	0	1	0	0	1	0	0	0	0	1	0	0
36.196708	36.624956	A/2	9	11	0	1	0	0	1	0	0	0	0	1	0	1
36.624956	37.077029	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
37.077029	37.997297	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
37.997297	38.902458	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
38.902458	40.294265	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
40.294265	40.734172	D:maj(*1)/#1	2	3	0	0	0	1	0	0	1	0	0	1	0	0
40.734172	41.627674	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
41.627674	42.562034	E:7/5	4	11	0	0	1	0	1	0	0	0	1	0	0	1
42.562034	44.344875	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
44.344875	45.277517	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
45.277517	46.153479	A:7/5	9	4	0	1	0	0	1	0	0	1	0	1	0	0
46.153479	47.993	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
47.993	48.872766	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
48.872766	49.778344	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
49.778344	51.613644	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
