start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.366281	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.366281	3.605464	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
3.605464	5.463061	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
5.463061	7.262607	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
7.262607	10.96619	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
10.96619	12.591587	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
12.591587	14.704603	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
14.704603	18.326916	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
18.326916	20.172902	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
20.172902	21.995668	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
21.995668	23.853265	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
23.853265	24.480204	D:maj6	2	2	0	0	1	0	0	0	1	0	0	1	0	1
24.480204	25.165192	A:maj(9)/3	9	1	0	1	0	0	1	0	0	0	0	1	0	1
25.165192	25.838571	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
25.838571	26.50034	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
26.50034	26.987959	E:sus4(b7)	4	4	0	0	1	0	1	0	0	0	0	1	0	1
26.987959	27.452358	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
27.452358	31.20238	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
31.20238	33.059977	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
33.059977	34.929183	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
34.929183	38.655986	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
38.655986	40.525192	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
40.525192	42.382789	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
42.382789	46.132811	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
46.132811	48.036848	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
48.036848	49.906054	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
49.906054	51.76365	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
51.76365	52.437029	D:maj6	2	2	0	0	1	0	0	0	1	0	0	1	0	1
52.437029	53.110408	A:maj(9)/3	9	1	0	1	0	0	1	0	0	0	0	1	0	1
53.110408	53.830226	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
53.830226	54.491995	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
54.491995	55.002834	E:sus4(b7)	4	4	0	0	1	0	1	0	0	0	0	1	0	1
55.002834	55.467233	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
55.467233	57.324829	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
57.324829	59.124376	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
59.124376	62.874399	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
62.874399	64.743605	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
64.743605	66.636031	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
66.636031	70.374444	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
70.374444	72.25526	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
72.25526	74.136077	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
74.136077	77.932539	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
77.932539	79.790136	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
79.790136	81.670952	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
81.670952	83.493718	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
83.493718	84.213537	D:maj6	2	2	0	0	1	0	0	0	1	0	0	1	0	1
84.213537	84.898526	A:maj(9)/3	9	1	0	1	0	0	1	0	0	0	0	1	0	1
84.898526	85.595124	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
85.595124	86.280113	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
86.280113	86.756122	E:sus4(b7)	4	4	0	0	1	0	1	0	0	0	0	1	0	1
86.756122	87.243741	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
87.243741	89.089727	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
89.089727	90.726734	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
90.726734	91.365283	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
91.365283	92.073492	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
92.073492	92.74687	D/3	2	6	0	0	1	0	0	0	1	0	0	1	0	0
92.74687	93.211269	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
93.211269	95.022426	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
95.022426	96.589773	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
96.589773	97.274761	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
97.274761	97.92492	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
97.92492	98.621519	D/3	2	6	0	0	1	0	0	0	1	0	0	1	0	0
98.621519	99.109138	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
99.109138	100.908684	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
100.908684	102.464421	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
102.464421	103.12619	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
