start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	3.097655	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
3.097655	4.127913	D:min9	2	2	1	0	1	0	1	1	0	0	0	1	0	0
4.127913	5.98551	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
5.98551	8.888004	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
8.888004	9.909682	C:sus4	0	0	1	0	0	0	0	1	0	1	0	0	0	0
9.909682	11.790498	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
11.790498	14.681383	F:maj7	5	5	1	0	0	0	1	1	0	0	0	1	0	0
14.681383	15.703061	B:dim	11	11	0	0	1	0	0	1	0	0	0	0	0	1
15.703061	17.514217	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
17.514217	23.295986	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
23.295986	26.24492	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
26.24492	27.350323	D:min9	2	2	1	0	1	0	1	1	0	0	0	1	0	0
27.350323	29.147414	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
29.147414	32.084739	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
32.084739	33.152857	C:sus4	0	0	1	0	0	0	0	1	0	1	0	0	0	0
33.152857	35.010453	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
35.010453	37.912947	F:maj7	5	5	1	0	0	0	1	1	0	0	0	1	0	0
37.912947	38.957845	B:dim	11	11	0	0	1	0	0	1	0	0	0	0	0	1
38.957845	40.827052	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
40.827052	46.59721	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
46.59721	49.557755	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
49.557755	50.567823	D:min9	2	2	1	0	1	0	1	1	0	0	0	1	0	0
50.567823	52.448639	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
52.448639	55.351133	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
55.351133	56.454081	C:sus4	0	0	1	0	0	0	0	1	0	1	0	0	0	0
56.454081	58.253628	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
58.253628	61.167732	F:maj7	5	5	1	0	0	0	1	1	0	0	0	1	0	0
61.167732	62.23585	B:dim	11	11	0	0	1	0	0	1	0	0	0	0	0	1
62.23585	64.116666	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
64.116666	68.495648	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
68.495648	69.817165	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
69.817165	71.256802	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
71.256802	72.63839	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
72.63839	74.008367	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
74.008367	75.355124	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
75.355124	76.725102	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
76.725102	78.071859	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
78.071859	80.742154	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
80.742154	82.100521	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
82.100521	83.447278	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
83.447278	84.817256	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
84.817256	86.210453	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
86.210453	87.59204	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
87.59204	88.950408	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
88.950408	91.678752	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
91.678752	94.372267	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
94.372267	97.135442	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
97.135442	99.910226	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
99.910226	102.650181	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
102.650181	105.366916	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
105.366916	108.09526	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
108.09526	110.765555	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
110.765555	113.45907	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
113.45907	116.222244	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
116.222244	118.880929	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
118.880929	121.586054	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
121.586054	124.302789	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
124.302789	126.984693	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
126.984693	129.666598	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
129.666598	132.336893	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
132.336893	134.983968	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
134.983968	136.319115	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
136.319115	137.619433	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
