start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.191476	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.191476	1.364739	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
1.364739	7.785056	E:maj6	4	4	0	1	0	0	1	0	0	0	1	0	0	1
7.785056	14.275034	E:maj6	4	4	0	1	0	0	1	0	0	0	1	0	0	1
14.275034	20.289002	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
20.289002	20.730181	B:maj6	11	11	0	0	0	1	0	0	1	0	1	0	0	1
20.730181	27.162108	E:maj6	4	4	0	1	0	0	1	0	0	0	1	0	0	1
27.162108	32.734897	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
32.734897	33.524376	B:maj6	11	11	0	0	0	1	0	0	1	0	1	0	0	1
33.524376	39.875034	E:maj6	4	4	0	1	0	0	1	0	0	0	1	0	0	1
39.875034	45.284923	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
45.284923	45.826177	G:min7	7	7	0	0	1	0	0	1	0	1	0	0	1	0
45.826177	46.283741	G#:min7/b3	8	11	0	0	0	1	0	0	1	0	1	0	0	1
46.283741	52.669229	E:maj6	4	4	0	1	0	0	1	0	0	0	1	0	0	1
52.669229	58.892176	G:9(*3,11)	7	7	1	0	1	0	0	1	0	1	0	1	0	0
58.892176	62.09653	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
62.09653	65.242834	C:maj7	0	0	1	0	0	0	1	0	0	1	0	0	0	1
65.242834	68.412358	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
68.412358	71.605102	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
71.605102	74.763015	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
74.763015	77.967369	C:maj7	0	0	1	0	0	0	1	0	0	1	0	0	0	1
77.967369	81.171723	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
81.171723	84.306417	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
84.306417	87.49916	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
87.49916	90.680294	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
90.680294	93.907868	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
93.907868	97.123832	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
97.123832	100.363015	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
100.363015	103.544149	E:min7	4	4	0	0	1	0	1	0	0	1	0	0	0	1
103.544149	106.725283	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
106.725283	109.906417	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
109.906417	115.490816	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
115.490816	116.257074	B:maj6	11	11	0	0	0	1	0	0	1	0	1	0	0	1
116.257074	122.735442	E:maj6	4	4	0	1	0	0	1	0	0	0	1	0	0	1
122.735442	128.250181	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
128.250181	129.004829	B:maj6	11	11	0	0	0	1	0	0	1	0	1	0	0	1
129.004829	135.529637	E:maj6	4	4	0	1	0	0	1	0	0	0	1	0	0	1
135.529637	141.055986	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
141.055986	141.810634	B:maj6	11	11	0	0	0	1	0	0	1	0	1	0	0	1
141.810634	146.311837	E:maj6	4	4	0	1	0	0	1	0	0	0	1	0	0	1
