start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	1.771088	E:maj6	4	4	0	1	0	0	1	0	0	0	1	0	0	1
1.771088	11.674399	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
11.674399	15.319931	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
15.319931	15.586961	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
15.586961	15.8656	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
15.8656	16.16746	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
16.16746	20.033582	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
20.033582	20.335442	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
20.335442	20.625691	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
20.625691	20.927551	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
20.927551	26.012721	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
26.012721	26.906689	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
26.906689	28.369546	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
28.369546	30.807641	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
30.807641	31.991859	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
31.991859	33.176077	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
33.176077	35.567732	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
35.567732	45.122743	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
45.122743	48.721836	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
48.721836	48.977256	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
48.977256	49.255895	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
49.255895	49.546145	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
49.546145	53.354217	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
53.354217	53.656077	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
53.656077	53.946326	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
53.946326	54.224965	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
54.224965	59.217256	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
59.217256	60.099614	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
60.099614	61.005192	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
61.005192	62.851179	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
62.851179	63.687097	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
63.687097	64.592675	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
64.592675	66.298776	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
