start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	1.620158	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
1.620158	4.476213	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
4.476213	10.234761	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
10.234761	13.055986	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
13.055986	15.8656	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
15.8656	18.768095	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
18.768095	21.635759	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
21.635759	23.110226	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
23.110226	24.491814	C:maj7/7	0	11	1	0	0	0	1	0	0	1	0	0	0	1
24.491814	27.371088	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
27.371088	28.427596	D:min9	2	2	1	0	1	0	1	1	0	0	0	1	0	0
28.427596	30.261972	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
30.261972	33.059977	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
33.059977	34.058435	C:sus4	0	0	1	0	0	0	0	1	0	1	0	0	0	0
34.058435	35.892811	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
35.892811	38.714036	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
38.714036	39.770544	B:dim	11	11	0	0	1	0	0	1	0	0	0	0	0	1
39.770544	41.52365	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
41.52365	44.414535	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
44.414535	47.375079	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
47.375079	48.338707	D:min9	2	2	1	0	1	0	1	1	0	0	0	1	0	0
48.338707	50.219523	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
50.219523	53.005918	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
53.005918	54.132086	C:sus4	0	0	1	0	0	0	0	1	0	1	0	0	0	0
54.132086	55.827142	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
55.827142	58.706417	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
58.706417	59.704875	B:dim	11	11	0	0	1	0	0	1	0	0	0	0	0	1
59.704875	61.516031	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
61.516031	64.476575	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
64.476575	65.216764	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
65.216764	66.901753	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
66.901753	67.2978	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
67.2978	70.099405	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
70.099405	75.761473	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
75.761473	78.524648	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
78.524648	81.357482	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
81.357482	84.167097	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
84.167097	86.999931	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
86.999931	88.126099	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
88.126099	89.855986	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
89.855986	92.607551	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
92.607551	93.687278	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
93.687278	95.417165	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
95.417165	96.888163	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
