start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.223884	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
0.223884	1.635324	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
1.635324	2.131761	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
2.131761	3.884104	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
3.884104	5.81136	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
5.81136	7.715396	D#:dim/b5	3	9	0	0	0	1	0	0	1	0	0	1	0	0
7.715396	11.244829	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
11.244829	11.744058	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
11.744058	13.183696	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
13.183696	13.706145	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
13.706145	15.377981	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
15.377981	17.305238	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
17.305238	19.186054	D#:dim/b5	3	9	0	0	0	1	0	0	1	0	0	1	0	0
19.186054	19.568859	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
19.568859	34.752914	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34.752914	36.72873	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
36.72873	38.690816	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
38.690816	40.652902	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
40.652902	42.626598	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
42.626598	44.588684	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
44.588684	46.56238	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
46.56238	48.478027	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
48.478027	50.382063	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
50.382063	52.297709	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
52.297709	54.259795	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
54.259795	56.221882	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
56.221882	58.195578	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
58.195578	60.111224	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
60.111224	62.07331	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
62.07331	63.988956	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
63.988956	65.916213	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
65.916213	67.843469	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
67.843469	69.724285	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
69.724285	71.686371	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
71.686371	73.532358	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
73.532358	75.506054	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
75.506054	77.37526	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
77.37526	79.290907	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
79.290907	81.264603	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
81.264603	83.215518	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
83.215518	85.142335	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
85.142335	87.081201	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
87.081201	88.996848	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
88.996848	92.921425	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
92.921425	96.856802	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
96.856802	100.792585	G/2	7	9	0	0	1	0	0	0	0	1	0	1	0	1
100.792585	101.547233	F/3	5	9	1	0	0	0	0	1	0	0	0	1	0	0
101.547233	102.255442	C:maj6/5	0	7	1	0	0	0	1	0	0	1	0	1	0	0
102.255442	103.0217	D:min7/b3	2	5	1	0	1	0	0	1	0	0	0	1	0	0
103.0217	103.822789	A:min/5	9	4	1	0	0	0	1	0	0	0	0	1	0	0
103.822789	105.448185	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
105.448185	107.212902	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
107.212902	110.742335	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
110.742335	114.109229	D/b7	2	0	1	0	1	0	0	0	1	0	0	1	0	0
114.109229	115.862335	Eb/6	3	0	1	0	0	1	0	0	0	1	0	0	1	0
115.862335	117.615442	F/5	5	0	1	0	0	0	0	1	0	0	0	1	0	0
117.615442	123.406354	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
123.406354	139.833469	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
