start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.325509	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.325509	2.072947	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
2.072947	2.607006	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
2.607006	3.175895	D/7	2	1	0	1	1	0	0	0	1	0	0	1	0	0
3.175895	3.756394	D/6	2	11	0	0	1	0	0	0	1	0	0	1	0	1
3.756394	4.348503	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
4.348503	4.975442	E:9	4	4	0	0	1	0	1	0	1	0	1	0	0	1
4.975442	5.532721	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
5.532721	6.774988	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
6.774988	7.390317	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
7.390317	7.982426	D/7	2	1	0	1	1	0	0	0	1	0	0	1	0	0
7.982426	8.586145	D/6	2	11	0	0	1	0	0	0	1	0	0	1	0	1
8.586145	9.155034	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
9.155034	10.374081	E:9	4	4	0	0	1	0	1	0	1	0	1	0	0	1
10.374081	11.581519	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
11.581519	12.765736	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
12.765736	13.949954	B:sus2	11	11	0	1	0	0	0	0	1	0	0	0	0	1
13.949954	15.134172	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
15.134172	16.341609	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
16.341609	17.525827	E:dim/b3	4	7	0	0	0	0	1	0	0	1	0	0	1	0
17.525827	18.094716	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
18.094716	18.710045	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
18.710045	19.313764	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
19.313764	19.917482	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
19.917482	20.463151	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
20.463151	21.00882	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
21.00882	21.635759	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
21.635759	22.204648	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
22.204648	22.575034	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
22.575034	23.14449	A:(1)	9	9	0	0	0	0	0	0	0	0	0	1	0	0
