start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.403805	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.403805	1.981768	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
1.981768	3.560725	Db:maj7	1	1	1	1	0	0	0	1	0	0	1	0	0	0
3.560725	6.788299	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
6.788299	10.050702	Ab:maj6	8	8	1	0	0	1	0	1	0	0	1	0	0	0
10.050702	11.652879	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
11.652879	13.197006	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
13.197006	16.35492	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
16.35492	19.501224	Eb:min7	3	3	0	1	0	1	0	0	1	0	0	0	1	0
19.501224	21.92572	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
21.92572	23.471836	Ab:7	8	8	1	0	0	1	0	0	1	0	1	0	0	0
23.471836	25.062403	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
25.062403	26.67619	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
26.67619	29.834104	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
29.834104	31.447891	Eb:min7	3	3	0	1	0	1	0	0	1	0	0	0	1	0
31.447891	34.617414	Gb:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
34.617414	41.037732	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
41.037732	44.311746	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
44.311746	50.551398	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
50.551398	53.715827	Gb	6	6	0	1	0	0	0	0	1	0	0	0	1	0
53.715827	56.862131	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
56.862131	63.24456	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
63.24456	66.403916	Gb	6	6	0	1	0	0	0	0	1	0	0	0	1	0
66.403916	69.482176	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
69.482176	71.026303	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
71.026303	72.55882	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
72.55882	75.705124	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
75.705124	78.897868	Eb:min7	3	3	0	1	0	1	0	0	1	0	0	0	1	0
78.897868	80.421672	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
80.421672	81.986122	Ab:7	8	8	1	0	0	1	0	0	1	0	1	0	0	0
81.986122	83.565079	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
83.565079	85.120816	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
85.120816	88.27873	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
88.27873	91.436643	Eb:min7	3	3	0	1	0	1	0	0	1	0	0	0	1	0
91.436643	94.590904	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
94.590904	95.407256	Ab:7	8	8	1	0	0	1	0	0	1	0	1	0	0	0
95.407256	101.757913	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
101.757913	104.973877	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
104.973877	111.301315	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
111.301315	114.424399	Gb	6	6	0	1	0	0	0	0	1	0	0	0	1	0
114.424399	117.524263	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
117.524263	123.77043	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
123.77043	126.916734	Gb	6	6	0	1	0	0	0	0	1	0	0	0	1	0
126.916734	129.981768	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
129.981768	131.549115	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
131.549115	133.093242	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
133.093242	136.135056	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
136.135056	137.725623	Eb:min7	3	3	0	1	0	1	0	0	1	0	0	0	1	0
137.725623	140.790657	Gb:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
140.790657	142.311564	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
142.311564	143.925351	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
143.925351	146.990385	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
146.990385	150.078639	Eb:min7	3	3	0	1	0	1	0	0	1	0	0	0	1	0
150.078639	151.61249	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
151.61249	153.201723	Ab:7	8	8	1	0	0	1	0	0	1	0	1	0	0	0
153.201723	159.52916	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
159.52916	162.687074	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
162.687074	168.875192	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
168.875192	171.963446	Gb	6	6	0	1	0	0	0	0	1	0	0	0	1	0
171.963446	175.09814	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
175.09814	181.286258	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
181.286258	184.490612	Gb	6	6	0	1	0	0	0	0	1	0	0	0	1	0
184.490612	187.451156	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
187.451156	222.784161	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
222.784161	228.571429	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
