start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.4021	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.4021	1.422789	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
1.422789	2.572176	A:min/b3	9	0	1	0	0	0	1	0	0	0	0	1	0	0
2.572176	4.638752	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
4.638752	5.67204	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
5.67204	6.716938	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
6.716938	7.773446	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
7.773446	8.841564	A:min/b3	9	0	1	0	0	0	1	0	0	0	0	1	0	0
8.841564	10.90814	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
10.90814	11.883378	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
11.883378	12.951496	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
12.951496	14.948412	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
14.948412	15.9817	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
15.9817	17.038208	A:min/b3	9	0	1	0	0	0	1	0	0	0	0	1	0	0
17.038208	19.046734	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
19.046734	20.045192	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
20.045192	21.03204	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
21.03204	23.121836	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
23.121836	25.141972	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
25.141972	27.115668	D:min/b3	2	5	0	0	1	0	0	1	0	0	0	1	0	0
27.115668	28.125736	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
28.125736	29.147414	F#:hdim7/b7	6	4	1	0	0	0	1	0	1	0	0	1	0	0
29.147414	31.109501	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
31.109501	32.107959	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
