start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	2.572176	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.572176	3.779614	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
3.779614	4.917392	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
4.917392	6.09	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
6.09	7.239387	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
7.239387	8.400385	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
8.400385	9.538163	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
9.538163	10.641111	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
10.641111	11.848548	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
11.848548	13.009546	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
13.009546	14.205374	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
14.205374	15.354761	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
15.354761	16.504149	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
16.504149	17.641927	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
17.641927	18.779705	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
18.779705	19.905873	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
19.905873	21.07848	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
21.07848	22.227868	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
22.227868	23.412086	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
23.412086	24.549863	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
24.549863	25.757301	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
25.757301	26.929909	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
26.929909	28.090907	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
28.090907	29.205464	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
29.205464	30.378072	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
30.378072	31.50424	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
31.50424	32.618798	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
32.618798	33.744965	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
33.744965	34.929183	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
34.929183	36.043741	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
36.043741	37.169909	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
37.169909	38.296077	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
38.296077	39.433854	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
39.433854	40.571632	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
40.571632	41.72102	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
41.72102	42.870408	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
42.870408	43.961746	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
43.961746	45.122743	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
45.122743	46.330181	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
46.330181	47.421519	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
47.421519	48.768966	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
48.768966	50.02449	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
