start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.382952	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.382952	3.738435	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
3.738435	4.516303	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
4.516303	7.604557	Ab:maj(2)/2	8	10	1	0	0	1	0	0	0	0	1	0	1	0
7.604557	9.427324	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
9.427324	11.1456	Eb:7/b7	3	1	0	1	0	1	0	0	0	1	0	0	1	0
11.1456	14.675034	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
14.675034	16.37009	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
16.37009	18.146417	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
18.146417	21.69907	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
21.69907	23.428956	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
23.428956	25.251723	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
25.251723	28.955306	Eb:7	3	3	0	1	0	1	0	0	0	1	0	0	1	0
28.955306	30.731632	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
30.731632	32.484739	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
32.484739	36.060612	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
36.060612	37.848548	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
37.848548	39.764195	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
39.764195	43.363287	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
43.363287	46.471252	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
46.471252	47.29907	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
47.29907	50.422154	Ab:maj(2)/2	8	10	1	0	0	1	0	0	0	0	1	0	1	0
50.422154	52.31458	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
52.31458	54.218616	Eb:7/b7	3	1	0	1	0	1	0	0	0	1	0	0	1	0
54.218616	57.724829	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
57.724829	59.501156	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
59.501156	61.381972	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
61.381972	64.992675	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
64.992675	66.827052	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
66.827052	68.638208	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
68.638208	72.214081	Eb:7	3	3	0	1	0	1	0	0	0	1	0	0	1	0
72.214081	74.036848	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
74.036848	75.882834	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
75.882834	79.539977	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
79.539977	81.397573	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
81.397573	83.26678	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
83.26678	86.923922	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
86.923922	88.735079	Eb/5	3	10	0	0	0	1	0	0	0	1	0	0	1	0
88.735079	90.581065	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
90.581065	92.322562	Eb/3	3	7	0	0	0	1	0	0	0	1	0	0	1	0
92.322562	93.1817	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
93.1817	94.110498	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
94.110498	95.910045	Eb/5	3	10	0	0	0	1	0	0	0	1	0	0	1	0
95.910045	97.709591	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
97.709591	99.497528	Eb/3	3	7	0	0	0	1	0	0	0	1	0	0	1	0
99.497528	100.379886	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
100.379886	101.250634	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
101.250634	104.488514	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
104.488514	105.348956	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
105.348956	108.41399	Ab:maj(2)/2	8	10	1	0	0	1	0	0	0	0	1	0	1	0
108.41399	110.271587	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
110.271587	112.036303	Eb:7	3	3	0	1	0	1	0	0	0	1	0	0	1	0
112.036303	115.612176	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
115.612176	117.446553	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
117.446553	119.222879	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
119.222879	122.845192	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
122.845192	124.702789	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
124.702789	126.571995	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
126.571995	130.310408	Eb:7	3	3	0	1	0	1	0	0	0	1	0	0	1	0
130.310408	132.156394	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
132.156394	133.967551	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
133.967551	137.694353	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
137.694353	139.4939	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
139.4939	141.374716	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
141.374716	145.055079	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
145.055079	146.877845	Eb/5	3	10	0	0	0	1	0	0	0	1	0	0	1	0
146.877845	148.630952	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
148.630952	150.476938	Eb/3	3	7	0	0	0	1	0	0	0	1	0	0	1	0
150.476938	151.359297	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
151.359297	152.253265	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
152.253265	154.006371	Eb/5	3	10	0	0	0	1	0	0	0	1	0	0	1	0
154.006371	155.829138	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
155.829138	157.617074	Eb/3	3	7	0	0	0	1	0	0	0	1	0	0	1	0
157.617074	158.487823	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
158.487823	159.358571	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
159.358571	162.551315	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
162.551315	163.398843	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
163.398843	166.510317	Ab:maj(2)/2	8	10	1	0	0	1	0	0	0	0	1	0	1	0
166.510317	168.333083	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
168.333083	170.23712	Eb:7/b7	3	1	0	1	0	1	0	0	0	1	0	0	1	0
170.23712	173.859433	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
173.859433	175.682199	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
175.682199	177.539795	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
177.539795	181.220158	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
181.220158	183.019705	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
183.019705	184.912131	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
184.912131	188.429954	Eb:7	3	3	0	1	0	1	0	0	0	1	0	0	1	0
188.429954	190.36882	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
190.36882	192.063877	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
192.063877	195.80229	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
195.80229	197.671496	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
197.671496	199.494263	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
199.494263	202.768276	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
202.768276	203.592585	Ab/5	8	3	1	0	0	1	0	0	0	0	1	0	0	0
203.592585	206.936258	Ab:maj(2)/2	8	10	1	0	0	1	0	0	0	0	1	0	1	0
206.936258	215.870169	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
215.870169	217.887347	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
