track_id	start	end	duration	key_indicator	key_label	key_diatonic_root_label	key_diatonic_root
0	0.000	1.035	1.035	Silence			
0	1.035	171.880	170.845	Key	E	E	4.000
0	171.880	175.800	3.920	Silence			
1	0.000	0.395	0.395	Silence			
1	0.395	105.685	105.290	Key	C	C	0.000
1	105.685	110.160	4.475	Silence			
2	0.000	0.410	0.410	Silence			
2	0.410	174.120	173.710	Key	D	D	2.000
2	174.120	177.573	3.453	Silence			
3	0.000	146.493	146.493	Key	Bb	Bb	10.000
4	0.000	147.507	147.507	Key	E	E	4.000
5	0.000	147.760	147.760	Key	E	E	4.000
6	0.000	123.373	123.373	Key	E	E	4.000
7	0.000	142.760	142.760	Key	G	G	7.000
8	0.000	125.733	125.733	Key	D:aeolian	F	5.000
9	0.000	158.067	158.067	Key	G	G	7.000
10	0.000	119.333	119.333	Key	E	E	4.000
11	0.000	125.133	125.133	Key	F#:minor	A	9.000
12	0.000	112.867	112.867	Key	E	E	4.000
13	0.000	153.267	153.267	Key	D	D	2.000
14	0.000	1.030	1.030	Silence			
14	1.030	129.940	128.910	Key	E	E	4.000
14	129.940	133.733	3.793	Silence			
15	0.000	0.429	0.429	Silence			
15	0.429	120.271	119.842	Key	E	E	4.000
15	120.271	124.533	4.262	Silence			
16	0.000	0.383	0.383	Silence			
16	0.383	125.530	125.147	Key	E	E	4.000
16	125.530	129.560	4.030	Silence			
17	0.000	0.430	0.430	Silence			
17	0.430	144.510	144.080	Key	E:minor	G	7.000
17	144.510	149.373	4.863	Silence			
18	0.000	0.425	0.425	Silence			
18	0.425	103.749	103.324	Key	E	E	4.000
18	103.749	108.000	4.251	Silence			
19	0.000	0.430	0.430	Silence			
19	0.430	132.750	132.320	Key	F	F	5.000
19	132.750	136.733	3.983	Silence			
20	0.000	0.385	0.385	Silence			
20	0.385	151.690	151.305	Key	A	A	9.000
20	151.690	156.733	5.043	Silence			
21	0.000	0.405	0.405	Silence			
21	0.405	163.025	162.620	Key	D	D	2.000
21	163.025	167.627	4.602	Silence			
22	0.000	0.400	0.400	Silence			
22	0.400	148.720	148.320	Key	F	F	5.000
22	148.720	152.573	3.853	Silence			
23	0.000	0.400	0.400	Silence			
23	0.400	178.999	178.599	Key	A	A	9.000
23	178.999	182.893	3.894	Silence			
24	0.000	0.413	0.413	Silence			
24	0.413	114.815	114.402	Key	E	E	4.000
24	114.815	118.973	4.158	Silence			
25	0.000	0.390	0.390	Silence			
25	0.390	143.830	143.440	Key	G	G	7.000
25	143.830	147.667	3.837	Silence			
26	0.000	0.400	0.400	Silence			
26	0.400	26.714	26.314	Key	G	G	7.000
26	26.714	64.842	38.128	Key	E:minor	G	7.000
26	64.842	91.912	27.070	Key	G	G	7.000
26	91.912	111.280	19.368	Key	E:minor	G	7.000
26	111.280	124.020	12.740	Key	G	G	7.000
26	124.020	128.333	4.313	Silence			
27	0.000	0.420	0.420	Silence			
27	0.420	166.305	165.885	Key	E	E	4.000
27	166.305	167.560	1.255	Silence			
28	0.000	1.000	1.000	Silence			
28	1.000	147.350	146.350	Key	G	G	7.000
28	147.350	152.520	5.170	Silence			
29	0.000	0.395	0.395	Silence			
29	0.395	159.380	158.985	Key	G	G	7.000
29	159.380	164.080	4.700	Silence			
30	0.000	0.385	0.385	Silence			
30	0.385	137.140	136.755	Key	D	D	2.000
30	137.140	142.027	4.887	Silence			
31	0.000	0.350	0.350	Silence			
31	0.350	14.600	14.250	Key	C#:minor	E	4.000
31	14.600	43.607	29.007	Key	E	E	4.000
31	43.607	58.069	14.462	Key	C#:minor	E	4.000
31	58.069	72.548	14.479	Key	E	E	4.000
31	72.548	87.136	14.588	Key	C#:minor	E	4.000
31	87.136	114.305	27.169	Key	E	E	4.000
31	114.305	118.680	4.375	Silence			
32	0.000	88.800	88.800	Key	E	E	4.000
32	88.800	151.053	62.253	Key	F	F	5.000
33	0.000	130.053	130.053	Key	D	D	2.000
34	0.000	134.920	134.920	Key	C	C	0.000
35	0.000	133.387	133.387	Key	D	D	2.000
36	0.000	107.720	107.720	Key	G	G	7.000
37	0.000	59.466	59.466	Key	A:minor	C	0.000
37	59.466	73.329	13.863	Key	A	A	9.000
37	73.329	101.378	28.049	Key	A:minor	C	0.000
37	101.378	115.233	13.855	Key	A	A	9.000
37	115.233	158.827	43.594	Key	A:minor	C	0.000
38	0.000	8.759	8.759	Key	A	A	9.000
38	8.759	16.149	7.390	Key	A:minor	C	0.000
38	16.149	31.129	14.980	Key	C	C	0.000
38	31.129	38.831	7.702	Key	A	A	9.000
38	38.831	46.196	7.365	Key	A:minor	C	0.000
38	46.196	61.216	15.020	Key	C	C	0.000
38	61.216	68.955	7.739	Key	A	A	9.000
38	68.955	76.620	7.665	Key	A:minor	C	0.000
38	76.620	111.026	34.406	Key	C	C	0.000
38	111.026	130.335	19.309	Key	A	A	9.000
38	130.335	134.049	3.714	Key	C	C	0.000
38	134.049	138.347	4.298	Silence			
39	0.000	157.627	157.627	Key	G	G	7.000
40	0.000	5.178	5.178	Key	A	A	9.000
40	5.178	12.783	7.605	Key	A:minor	C	0.000
40	12.783	16.598	3.815	Key	A	A	9.000
40	16.598	24.126	7.528	Key	A:minor	C	0.000
40	24.126	40.461	16.335	Key	A	A	9.000
40	40.461	48.073	7.612	Key	A:minor	C	0.000
40	48.073	51.886	3.813	Key	A	A	9.000
40	51.886	59.608	7.722	Key	A:minor	C	0.000
40	59.608	81.829	22.221	Key	A	A	9.000
40	81.829	89.559	7.730	Key	A:minor	C	0.000
40	89.559	93.465	3.906	Key	A	A	9.000
40	93.465	101.181	7.716	Key	A:minor	C	0.000
40	101.181	117.859	16.678	Key	A	A	9.000
40	117.859	125.632	7.773	Key	A:minor	C	0.000
40	125.632	131.527	5.895	Key	A	A	9.000
40	131.527	135.445	3.918	Key	A:minor	C	0.000
40	135.445	138.823	3.378	Key	A	A	9.000
40	138.823	140.547	1.724	Key	A:minor	C	0.000
41	0.000	137.827	137.827	Key	C	C	0.000
42	0.000	153.507	153.507	Key	G	G	7.000
43	0.000	127.560	127.560	Key	A	A	9.000
44	0.000	153.733	153.733	Key	A	A	9.000
45	0.000	111.040	111.040	Key	C	C	0.000
46	0.000	157.200	157.200	Key	F#	Gb	6.000
47	0.000	153.467	153.467	Key	G	G	7.000
48	0.000	165.427	165.427	Key	D	D	2.000
49	0.000	134.733	134.733	Key	A	A	9.000
50	0.000	179.600	179.600	Key	E	E	4.000
