id,name,desc,family_name,family_desc,tonal,harmonic
1,acoustic_grand_piano,Acoustic Grand Piano,piano,Piano,True,True
2,bright_acoustic_piano,Bright Acoustic Piano,piano,Piano,True,True
3,electric_grand_piano,Electric Grand Piano,piano,Piano,True,True
4,honky_tonk_piano,Honky-tonk Piano,piano,Piano,True,True
5,electric_piano_1,Electric Piano 1,piano,Piano,True,True
6,electric_piano_2,Electric Piano 2,piano,Piano,True,True
7,harpsichord,Harpsichord,piano,Piano,True,True
8,clavi,Clavi,piano,Piano,True,True
9,celesta,Celesta,chromatic_percussion,Chromatic Percussion,True,False
10,glockenspiel,Glockenspiel,chromatic_percussion,Chromatic Percussion,True,False
11,music_box,Music Box,chromatic_percussion,Chromatic Percussion,True,False
12,vibraphone,Vibraphone,chromatic_percussion,Chromatic Percussion,True,False
13,marimba,Marimba,chromatic_percussion,Chromatic Percussion,True,False
14,xylophone,Xylophone,chromatic_percussion,Chromatic Percussion,True,False
15,tubular_bells,Tubular Bells,chromatic_percussion,Chromatic Percussion,True,False
16,dulcimer,Dulcimer,chromatic_percussion,Chromatic Percussion,True,False
17,drawbar_organ,Drawbar Organ,organ,Organ,True,True
18,percussive_organ,Percussive Organ,organ,Organ,True,True
19,rock_organ,Rock Organ,organ,Organ,True,True
20,church_organ,Church Organ,organ,Organ,True,True
21,reed_organ,Reed Organ,organ,Organ,True,True
22,accordion,Accordion,organ,Organ,True,True
23,harmonica,Harmonica,organ,Organ,True,True
24,tango_accordion,Tango Accordion,organ,Organ,True,True
25,acoustic_guitar_nylon,Acoustic Guitar (nylon),guitar,Guitar,True,True
26,acoustic_guitar_steel,Acoustic Guitar (steel),guitar,Guitar,True,True
27,electric_guitar_jazz,Electric Guitar (jazz),guitar,Guitar,True,True
28,electric_guitar_clean,Electric Guitar (clean),guitar,Guitar,True,True
29,electric_guitar_muted,Electric Guitar (muted),guitar,Guitar,True,True
30,overdriven_guitar,Overdriven Guitar,guitar,Guitar,True,True
31,distortion_guitar,Distortion Guitar,guitar,Guitar,True,True
32,guitar_harmonics,Guitar harmonics,guitar,Guitar,True,True
33,acoustic_bass,Acoustic Bass,bass,Bass,True,True
34,electric_bass_finger,Electric Bass (finger),bass,Bass,True,True
35,electric_bass_pick,Electric Bass (pick),bass,Bass,True,True
36,fretless_bass,Fretless Bass,bass,Bass,True,True
37,slap_bass_1,Slap Bass 1,bass,Bass,True,True
38,slap_bass_2,Slap Bass 2,bass,Bass,True,True
39,synth_bass_1,Synth Bass 1,bass,Bass,True,True
40,synth_bass_2,Synth Bass 2,bass,Bass,True,True
41,violin,Violin,strings,Strings,True,True
42,viola,Viola,strings,Strings,True,True
43,cello,Cello,strings,Strings,True,True
44,contrabass,Contrabass,strings,Strings,True,True
