start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.47869	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.47869	3.025323	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
3.025323	3.513909	E:maj7	4	4	0	0	0	1	1	0	0	0	1	0	0	1
3.513909	3.966698	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
3.966698	5.708194	G#:min7	8	8	0	0	0	1	0	0	1	0	1	0	0	1
5.708194	7.020122	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
7.020122	7.484521	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
7.484521	10.061936	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
10.061936	10.148439	E:maj7	4	4	0	0	0	1	1	0	0	0	1	0	0	1
10.503115	11.002344	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
11.002344	12.743841	G#:min7	8	8	0	0	0	1	0	0	1	0	1	0	0	1
12.743841	14.032548	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
14.032548	14.508557	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
14.508557	16.215224	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
16.215224	17.97994	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
17.97994	21.462934	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
21.462934	23.23926	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
23.23926	25.050417	F#:9	6	6	0	1	0	0	1	0	1	0	1	0	1	0
25.050417	25.979215	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
25.979215	26.443614	E:maj7	4	4	0	0	0	1	1	0	0	0	1	0	0	1
26.443614	26.931233	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
26.931233	28.707559	G#:min7	8	8	0	0	0	1	0	0	1	0	1	0	0	1
28.707559	29.999371	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
29.999371	30.483886	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
30.483886	33.101875	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
33.101875	33.56053	E:maj7	4	4	0	0	0	1	1	0	0	0	1	0	0	1
33.56053	34.024929	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
34.024929	35.789646	G#:min7	8	8	0	0	0	1	0	0	1	0	1	0	0	1
35.789646	37.531142	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
37.531142	39.307469	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
39.307469	41.083795	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
41.083795	44.636448	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
44.636448	46.416525	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
46.416525	48.200711	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
48.200711	50.046698	E:aug	4	4	1	0	0	0	1	0	0	0	1	0	0	0
50.046698	51.776584	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
51.776584	53.564521	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
53.564521	55.352457	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
55.352457	57.152004	E:aug	4	4	1	0	0	0	1	0	0	0	1	0	0	0
57.152004	58.91672	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
58.91672	60.693047	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
60.693047	62.859161	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
62.859161	63.328512	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
63.328512	63.769691	E:maj7	4	4	0	0	0	1	1	0	0	0	1	0	0	1
63.769691	64.22248	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
64.22248	65.917537	G#:min7	8	8	0	0	0	1	0	0	1	0	1	0	0	1
65.917537	67.705473	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
67.705473	69.4818	G#:min7	8	8	0	0	0	1	0	0	1	0	1	0	0	1
69.4818	71.304566	A:maj7	9	9	0	1	0	0	1	0	0	0	1	1	0	0
71.304566	74.020532	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
74.020532	74.46248	E:maj7	4	4	0	0	0	1	1	0	0	0	1	0	0	1
74.46248	74.973319	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
74.973319	76.749646	G#:min7	8	8	0	0	0	1	0	0	1	0	1	0	0	1
76.749646	78.096403	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
78.096403	78.572412	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
78.572412	81.265927	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
81.265927	81.718716	E:maj7	4	4	0	0	0	1	1	0	0	0	1	0	0	1
81.718716	82.217945	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
82.217945	83.971051	G#:min7	8	8	0	0	0	1	0	0	1	0	1	0	0	1
83.971051	85.341029	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
85.341029	85.782208	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
85.782208	87.581754	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
87.581754	89.334861	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
89.334861	91.157627	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
91.157627	92.910734	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
92.910734	94.72189	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
94.72189	96.498217	F#:9	6	6	0	1	0	0	1	0	1	0	1	0	1	0
96.498217	97.445396	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
97.445396	97.949464	E:maj7	4	4	0	0	0	1	1	0	0	0	1	0	0	1
97.949464	98.425473	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
