start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.456937	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.456937	2.651307	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
2.651307	4.752713	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
4.752713	6.900559	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
6.900559	9.001965	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
9.001965	11.110106	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
11.110106	13.336043	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
13.336043	17.581738	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
17.581738	21.85421	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
21.85421	26.115071	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
26.115071	30.271443	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
30.271443	34.578745	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
34.578745	38.793167	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
38.793167	40.941012	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
40.941012	43.100468	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
43.100468	45.201874	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
45.201874	49.485956	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
49.485956	51.657021	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
51.657021	53.746817	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
53.746817	55.929493	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
55.929493	58.077339	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
58.077339	62.349811	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
62.349811	66.645502	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
66.645502	70.883144	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
70.883144	75.132396	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
75.132396	79.416477	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
79.416477	83.596069	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
83.596069	85.743915	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
85.743915	87.868541	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
87.868541	89.946727	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
89.946727	94.312078	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
94.312078	96.541194	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
96.541194	98.63099	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
98.63099	100.778836	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
100.778836	102.926681	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
102.926681	105.097747	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
105.097747	107.117883	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
107.117883	109.265729	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
109.265729	111.309085	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
111.309085	113.456931	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
113.456931	115.546727	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
115.546727	119.819198	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
119.819198	124.1265	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
124.1265	128.410582	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
128.410582	130.604867	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
130.604867	132.752713	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
132.752713	134.854119	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
134.854119	137.048405	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
137.048405	139.26591	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
139.26591	141.378926	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
141.378926	143.549992	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
143.549992	145.732668	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
145.732668	147.903734	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
147.903734	150.051579	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
150.051579	152.211035	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
152.211035	158.066939	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
