start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	1.072266	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.072266	1.773285	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
1.773285	5.216719	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
5.216719	8.757762	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
8.757762	10.510869	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
10.510869	11.404837	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
11.404837	12.263975	G:dim7	7	7	0	1	0	0	1	0	0	1	0	0	1	0
12.263975	14.017082	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
14.017082	15.770189	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
15.770189	17.488465	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
17.488465	19.253182	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
19.253182	21.041118	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
21.041118	22.829055	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
22.829055	24.616991	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
24.616991	26.370098	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
26.370098	28.158034	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
28.158034	31.687468	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
31.687468	35.29817	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
35.29817	37.074497	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
37.074497	37.980075	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
37.980075	38.839214	G:dim7	7	7	0	1	0	0	1	0	0	1	0	0	1	0
38.839214	42.415087	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
42.415087	44.203023	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
44.203023	45.96774	B:aug/3	11	3	0	0	0	1	0	0	0	1	0	0	0	1
45.96774	47.802116	B:min/b3	11	2	0	0	1	0	0	0	1	0	0	0	0	1
47.802116	49.601663	C#:7	1	1	0	1	0	0	0	1	0	0	1	0	0	1
49.601663	51.401209	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
51.401209	53.212366	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
53.212366	54.988692	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
54.988692	56.683749	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
56.683749	58.471685	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
58.471685	60.271232	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
60.271232	62.082388	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
62.082388	63.870325	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
63.870325	65.716311	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
65.716311	67.492638	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
67.492638	69.303794	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
69.303794	72.914497	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
72.914497	76.51359	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
76.51359	78.301527	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
78.301527	79.207105	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
79.207105	80.112683	G:dim7	7	7	0	1	0	0	1	0	0	1	0	0	1	0
80.112683	81.900619	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
81.900619	83.734996	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
83.734996	85.511322	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
85.511322	87.322479	B:aug/3	11	3	0	0	0	1	0	0	0	1	0	0	0	1
87.322479	89.180075	B:min/b3	11	2	0	0	1	0	0	0	1	0	0	0	0	1
89.180075	91.037672	C#:7	1	1	0	1	0	0	0	1	0	0	1	0	0	1
91.037672	92.802388	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
92.802388	94.625155	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
94.625155	96.424701	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
96.424701	98.131368	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
98.131368	99.930914	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
99.930914	101.718851	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
101.718851	103.530007	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
103.530007	105.341164	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
105.341164	107.17554	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
107.17554	108.975087	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
108.975087	110.797853	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
110.797853	114.420166	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
114.420166	118.019259	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
118.019259	119.900075	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
119.900075	120.948017	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
120.948017	122.996812	G:dim7	7	7	0	1	0	0	1	0	0	1	0	0	1	0
122.996812	124.079667	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
124.079667	124.799486	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
124.799486	125.751504	F#:7	6	6	0	1	0	0	1	0	1	0	0	0	1	0
125.751504	126.715132	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
126.715132	130.06228	E:maj7	4	4	0	0	0	1	1	0	0	0	1	0	0	1
130.06228	133.746939	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
