start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.497838	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.497838	3.657165	E:aug(9,11)	4	4	1	0	0	0	1	0	1	0	1	1	0	0
3.657165	7.755487	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
7.755487	11.923469	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
11.923469	15.952131	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
15.952131	19.945963	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
19.945963	21.966099	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
21.966099	25.971541	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
25.971541	30.046643	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
30.046643	34.133356	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
34.133356	38.150408	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
38.150408	42.13263	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
42.13263	44.141156	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
44.141156	48.088548	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
48.088548	52.001111	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
52.001111	55.925283	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
55.925283	57.898979	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
57.898979	58.59169	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
58.59169	59.907505	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
59.907505	61.881201	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
61.881201	62.670131	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
62.670131	63.843287	E/5	4	11	0	0	0	0	1	0	0	0	1	0	0	1
63.843287	65.886643	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
65.886643	70.008185	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
70.008185	74.118117	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
74.118117	78.14678	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
78.14678	82.175442	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
82.175442	84.149138	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
84.149138	88.15458	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
88.15458	92.078752	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
92.078752	96.026145	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
96.026145	97.999841	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
97.999841	98.725083	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
98.725083	99.961927	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
99.961927	101.912403	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
101.912403	102.701882	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
102.701882	103.897709	E/5	4	11	0	0	0	0	1	0	0	0	1	0	0	1
103.897709	105.848185	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
105.848185	106.626054	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
106.626054	107.845102	E/5	4	11	0	0	0	0	1	0	0	0	1	0	0	1
107.845102	109.876848	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
109.876848	113.94034	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
113.94034	118.108321	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
118.108321	120.304441	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
120.304441	124.551837	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
