start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.477813	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.477813	1.471665	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
1.471665	2.493343	F#:dim	6	6	1	0	0	0	0	0	1	0	0	1	0	0
2.493343	3.445361	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
3.445361	4.432209	C:9	0	0	1	0	1	0	1	0	0	1	0	0	1	0
4.432209	5.430667	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
5.430667	6.417515	F#:dim	6	6	1	0	0	0	0	0	1	0	0	1	0	0
6.417515	7.381143	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
7.381143	8.367991	C:9	0	0	1	0	1	0	1	0	0	1	0	0	1	0
8.367991	10.318467	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
10.318467	12.280554	F#:dim	6	6	1	0	0	0	0	0	1	0	0	1	0	0
12.280554	14.24264	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
14.24264	16.204726	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
16.204726	17.156744	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
17.156744	17.644363	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
17.644363	18.120372	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
18.120372	19.11883	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
19.11883	20.117288	C:9	0	0	1	0	1	0	1	0	0	1	0	0	1	0
20.117288	22.044544	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
22.044544	23.019783	G:min7	7	7	0	0	1	0	0	1	0	1	0	0	1	0
23.019783	23.995021	C:9	0	0	1	0	1	0	1	0	0	1	0	0	1	0
23.995021	25.945497	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
25.945497	27.872753	F#:dim	6	6	1	0	0	0	0	0	1	0	0	1	0	0
27.872753	29.846449	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
29.846449	31.773705	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
31.773705	32.760554	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
32.760554	33.248173	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
33.248173	33.724182	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
33.724182	34.73425	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
34.73425	35.697878	C:9	0	0	1	0	1	0	1	0	0	1	0	0	1	0
35.697878	37.648354	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
37.648354	39.61044	F:9	5	5	1	0	0	1	0	1	0	1	0	1	0	0
39.61044	41.537696	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
41.537696	43.476563	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
43.476563	45.427039	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
45.427039	47.365905	D:9	2	2	1	0	1	0	1	0	1	0	0	1	0	0
47.365905	48.364363	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
48.364363	49.316381	G:minmaj7	7	7	0	0	1	0	0	0	1	1	0	0	1	0
49.316381	51.255247	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
51.255247	53.286993	C:9	0	0	1	0	1	0	1	0	0	1	0	0	1	0
53.286993	55.1562	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
55.1562	57.153116	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
57.153116	59.150032	F#:dim	6	6	1	0	0	0	0	0	1	0	0	1	0	0
59.150032	61.065678	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
61.065678	63.085814	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
63.085814	64.026222	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
64.026222	64.537061	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
64.537061	65.05951	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
65.05951	66.011529	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
66.011529	66.998377	C:9	0	0	1	0	1	0	1	0	0	1	0	0	1	0
66.998377	68.937243	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
68.937243	69.889261	G:min7	7	7	0	0	1	0	0	1	0	1	0	0	1	0
69.889261	70.864499	C:9	0	0	1	0	1	0	1	0	0	1	0	0	1	0
70.864499	72.780145	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
72.780145	74.753841	F#:dim	6	6	1	0	0	0	0	0	1	0	0	1	0	0
74.753841	76.727538	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
76.727538	78.701234	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
78.701234	79.688082	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
79.688082	80.175701	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
80.175701	80.67493	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
80.67493	81.638558	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
81.638558	82.660236	F#:7(#9)	6	6	0	1	0	0	1	0	1	0	0	1	1	0
82.660236	84.622322	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
84.622322	86.607628	F:9	5	5	1	0	0	1	0	1	0	1	0	1	0	0
86.607628	88.511665	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
88.511665	90.485361	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
90.485361	92.424227	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
92.424227	94.386313	D:9	2	2	1	0	1	0	1	0	1	0	0	1	0	0
94.386313	95.419601	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
95.419601	96.360009	G:minmaj7	7	7	0	0	1	0	0	0	1	1	0	0	1	0
96.360009	98.345315	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
98.345315	100.319012	C:9	0	0	1	0	1	0	1	0	0	1	0	0	1	0
100.319012	102.234658	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
102.234658	104.254794	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
104.254794	106.22849	F#:dim	6	6	1	0	0	0	0	0	1	0	0	1	0	0
106.22849	108.202186	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
108.202186	110.175882	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
110.175882	111.16273	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
111.16273	111.685179	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
111.685179	112.172798	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
112.172798	113.101597	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
113.101597	114.100055	C:9	0	0	1	0	1	0	1	0	0	1	0	0	1	0
114.100055	116.015701	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
116.015701	117.942957	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
117.942957	118.906585	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
118.906585	119.893433	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
119.893433	121.855519	C:7/5	0	7	1	0	0	0	1	0	0	1	0	0	1	0
121.855519	123.794386	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
123.794386	125.721642	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
125.721642	127.706948	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
127.706948	128.717016	F:maj7	5	5	1	0	0	0	1	1	0	0	0	1	0	0
128.717016	131.972923	F:maj7	5	5	1	0	0	0	1	1	0	0	0	1	0	0
131.972923	136.75102	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
