start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.440395	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.440395	1.014823	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
1.014823	6.644221	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
6.644221	9.431879	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
9.431879	12.241493	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
12.241493	13.657911	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
13.657911	15.074328	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
15.074328	16.525575	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
16.525575	17.965212	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
17.965212	19.37002	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
19.37002	20.844487	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
20.844487	23.735371	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
23.735371	26.707525	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
26.707525	29.679679	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
29.679679	31.142537	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
31.142537	32.640224	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
32.640224	35.623988	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
35.623988	37.110065	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
37.110065	38.619362	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
38.619362	41.637956	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
41.637956	44.65655	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
44.65655	47.640314	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
47.640314	49.138001	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
49.138001	50.658908	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
50.658908	53.654283	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
