start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.382246	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.382246	2.154217	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
2.154217	2.804376	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
2.804376	3.826054	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
3.826054	5.66043	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
5.66043	6.298979	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
6.298979	7.367097	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
7.367097	9.189863	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
9.189863	9.886462	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
9.886462	10.9778	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
10.9778	11.669116	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
11.669116	12.73091	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
12.73091	13.462335	E:maj6	4	4	0	1	0	0	1	0	0	0	1	0	0	1
13.462335	14.588503	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
14.588503	15.273492	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
15.273492	16.376439	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
16.376439	17.061428	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
17.061428	18.175986	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
18.175986	18.860975	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
18.860975	19.963922	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
19.963922	20.614081	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
20.614081	21.763469	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
21.763469	23.574625	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
23.574625	24.271224	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
24.271224	25.385782	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
25.385782	26.08238	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
26.08238	27.196938	B:aug	11	11	0	0	0	1	0	0	0	1	0	0	0	1
27.196938	27.898069	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
27.898069	29.031315	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
29.031315	29.704693	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
29.704693	30.807641	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
30.807641	31.50424	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
31.50424	32.642018	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
32.642018	33.338616	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
33.338616	34.418344	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
34.418344	35.114943	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
35.114943	36.31077	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
36.31077	38.098707	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
38.098707	38.795306	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
38.795306	39.909863	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
39.909863	40.652902	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
40.652902	41.74424	B:aug	11	11	0	0	0	1	0	0	0	1	0	0	0	1
41.74424	43.590226	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
43.590226	45.412993	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
45.412993	46.109591	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
46.109591	47.212539	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
47.212539	49.012086	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
49.012086	49.685464	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
49.685464	50.823242	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
