start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.459543	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.459543	1.550498	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
1.550498	2.850816	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
2.850816	4.197573	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
4.197573	5.497891	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
5.497891	6.821428	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
6.821428	8.133356	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
8.133356	9.516363	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
9.516363	14.948412	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
14.948412	17.653537	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
17.653537	20.393492	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
20.393492	21.821519	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
21.821519	24.607913	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
24.607913	26.012721	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
26.012721	31.53907	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
31.53907	34.383514	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
34.383514	37.100249	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
37.100249	38.493446	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
38.493446	39.979523	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
39.979523	41.291451	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
41.291451	42.696258	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
42.696258	44.101065	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
44.101065	45.494263	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
45.494263	48.303877	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
48.303877	49.697074	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
49.697074	51.078662	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
51.078662	52.460249	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
52.460249	53.934716	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
53.934716	59.530725	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
59.530725	62.32873	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
62.32873	65.138344	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
65.138344	66.519931	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
66.519931	67.994399	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
67.994399	69.352766	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
69.352766	70.827233	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
70.827233	72.1856	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
72.1856	77.75839	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
77.75839	80.568004	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
80.568004	83.377619	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
83.377619	84.805646	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
84.805646	86.222063	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
86.222063	87.61526	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
87.61526	89.054897	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
89.054897	90.378435	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
90.378435	91.794852	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
91.794852	94.604467	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
94.604467	96.009274	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
96.009274	97.414081	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
97.414081	98.807278	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
98.807278	100.235306	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
100.235306	105.877755	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
105.877755	108.722199	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
108.722199	111.520204	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
111.520204	112.936621	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
112.936621	114.411088	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
114.411088	115.804285	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
115.804285	117.220702	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
117.220702	118.60229	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
118.60229	119.925827	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
119.925827	121.214535	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
121.214535	122.642562	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
122.642562	124.000929	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
124.000929	125.475396	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
125.475396	130.165461	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
130.165461	134.948571	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
