start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.440395	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.440395	1.654988	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.654988	3.117845	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
3.117845	4.963832	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
4.963832	8.319115	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
8.319115	9.979342	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
9.979342	10.8617	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
10.8617	11.697619	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
11.697619	15.029682	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
15.029682	16.701519	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
16.701519	18.373356	F#:min/5	6	1	0	1	0	0	0	0	1	0	0	1	0	0
18.373356	20.080022	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
20.080022	21.740249	G:min/b3	7	10	0	0	1	0	0	0	0	1	0	0	1	0
21.740249	23.446916	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
23.446916	25.083922	A/3	9	1	0	1	0	0	1	0	0	0	0	1	0	0
25.083922	26.767369	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
26.767369	28.474036	F#:min/5	6	1	0	1	0	0	0	0	1	0	0	1	0	0
28.474036	30.134263	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
30.134263	31.806099	G:min/b3	7	10	0	0	1	0	0	0	0	1	0	0	1	0
31.806099	33.477936	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
33.477936	35.138163	A/3	9	1	0	1	0	0	1	0	0	0	0	1	0	0
35.138163	38.528276	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
38.528276	40.084013	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
40.084013	41.93	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
41.93	45.320113	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
45.320113	47.00356	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
47.00356	47.885918	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
47.885918	48.721836	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
48.721836	52.11195	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
52.11195	53.830226	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
53.830226	55.536893	F#:min/5	6	1	0	1	0	0	0	0	1	0	0	1	0	0
55.536893	57.24356	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
57.24356	58.915396	G:min/b3	7	10	0	0	1	0	0	0	0	1	0	0	1	0
58.915396	60.610453	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
60.610453	62.28229	A/3	9	1	0	1	0	0	1	0	0	0	0	1	0	0
62.28229	63.977346	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
63.977346	65.684013	F#:min/5	6	1	0	1	0	0	0	0	1	0	0	1	0	0
65.684013	67.39068	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
67.39068	69.132176	G:min/b3	7	10	0	0	1	0	0	0	0	1	0	0	1	0
69.132176	70.792403	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
70.792403	72.47585	A/3	9	1	0	1	0	0	1	0	0	0	0	1	0	0
72.47585	74.205736	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
74.205736	75.958843	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
75.958843	77.4217	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
77.4217	79.337346	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
79.337346	82.68102	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
82.68102	84.387687	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
84.387687	85.304875	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
85.304875	86.140793	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
86.140793	89.554126	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
89.554126	90.424875	A:7/5	9	4	0	1	0	0	1	0	0	1	0	1	0	0
90.424875	91.284013	B:min/5	11	6	0	0	1	0	0	0	1	0	0	0	0	1
91.284013	93.0139	A:7/b7	9	7	0	1	0	0	1	0	0	1	0	1	0	0
93.0139	93.849818	A:7/5	9	4	0	1	0	0	1	0	0	1	0	1	0	0
93.849818	94.685736	B:min/5	11	6	0	0	1	0	0	0	1	0	0	0	0	1
94.685736	95.846734	A:7/b7	9	7	0	1	0	0	1	0	0	1	0	1	0	0
95.846734	96.067324	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
96.067324	96.357573	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
96.357573	97.495351	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
97.495351	97.76238	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
97.76238	98.05263	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
98.05263	99.178798	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
99.178798	99.480657	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
99.480657	99.782517	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
99.782517	101.512403	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
101.512403	103.21907	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
103.21907	106.644013	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
106.644013	108.15331	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
108.15331	110.057346	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
110.057346	113.51712	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
113.51712	115.247006	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
115.247006	116.117755	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
116.117755	116.976893	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
116.976893	118.73	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
118.73	120.413446	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
120.413446	122.131723	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
122.131723	123.82678	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
123.82678	129.016604	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
129.016604	133.407347	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
