start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.4021	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.4021	4.046643	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
4.046643	5.13156	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
5.13156	6.242121	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
6.242121	6.912288	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
6.912288	7.984554	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
7.984554	8.635573	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
8.635573	9.650396	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
9.650396	10.301415	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
10.301415	11.411976	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
11.411976	12.10129	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
12.10129	13.135261	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
13.135261	13.78628	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
13.78628	14.839399	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
14.839399	15.509565	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
15.509565	16.524389	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
16.524389	17.758027	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
17.758027	19.499523	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
19.499523	21.2178	C:9	0	0	1	0	1	0	1	0	0	1	0	0	1	0
21.2178	22.936077	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
22.936077	24.677573	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
24.677573	25.804192	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
25.804192	26.83912	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
26.83912	29.322946	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
29.322946	29.926654	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
29.926654	31.60873	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
31.60873	33.385056	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
33.385056	34.54933	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
34.54933	35.54976	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
35.54976	38.033586	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
38.033586	39.085762	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
39.085762	41.414349	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
41.414349	42.518272	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
42.518272	44.933102	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
44.933102	45.605805	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
45.605805	47.293809	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
47.293809	49.012086	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
49.012086	50.718752	C:9	0	0	1	0	1	0	1	0	0	1	0	0	1	0
50.718752	52.495079	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
52.495079	54.190136	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
54.190136	55.334124	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
55.334124	56.041324	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
56.041324	58.835629	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
58.835629	59.508331	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
59.508331	61.237392	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
61.237392	62.920839	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
62.920839	64.685555	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
64.685555	66.427052	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
66.427052	68.133718	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
68.133718	69.851995	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
69.851995	71.593492	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
71.593492	73.311768	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
73.311768	75.041655	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
