start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.421247	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.421247	4.058253	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
4.058253	7.796666	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
7.796666	15.157392	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
15.157392	18.895804	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
18.895804	22.645827	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
22.645827	24.213174	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
24.213174	26.23331	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
26.23331	28.090907	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
28.090907	29.925283	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
29.925283	37.390498	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
37.390498	41.140521	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
41.140521	44.890544	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
44.890544	46.66687	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
46.66687	48.512857	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
48.512857	52.181609	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
52.181609	54.050816	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
54.050816	55.920022	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
55.920022	56.84882	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
56.84882	57.789229	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
57.789229	59.635215	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
59.635215	61.446371	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
61.446371	63.373628	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
63.373628	65.266054	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
65.266054	66.043922	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
66.043922	67.20492	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
67.20492	74.646916	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
74.646916	78.396938	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
78.396938	82.123741	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
82.123741	83.923287	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
83.923287	85.780884	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
85.780884	87.619469	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
87.619469	89.461247	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
89.461247	96.984512	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
96.984512	100.641655	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
100.641655	104.345238	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
104.345238	106.214444	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
106.214444	108.09526	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
108.09526	111.775623	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
111.775623	113.714489	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
113.714489	115.498391	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
115.498391	116.512494	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
116.512494	117.441292	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
117.441292	119.310498	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
119.310498	121.191315	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
121.191315	123.141791	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
123.141791	125.022607	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
125.022607	125.742426	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
125.742426	126.984693	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
126.984693	134.542789	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
134.542789	138.304421	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
138.304421	142.077664	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
142.077664	143.8656	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
143.8656	145.804467	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
145.804467	148.52802	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
148.52802	149.09009	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
149.09009	150.423634	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
150.423634	152.817085	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
152.817085	157.64898	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
