start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.421247	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.421247	1.148857	F#:(1,4,b7)	6	6	0	0	0	0	1	0	1	0	0	0	0	1
1.148857	4.997527	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
4.997527	7.053628	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
7.053628	8.899614	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
8.899614	10.87331	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
10.87331	12.742517	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
12.742517	16.538979	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
16.538979	18.477845	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
18.477845	20.347052	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
20.347052	22.251088	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
22.251088	24.143514	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
24.143514	27.974807	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
27.974807	31.771269	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
31.771269	35.544512	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
35.544512	36.51975	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
36.51975	37.280399	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
37.280399	38.470226	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
38.470226	39.201655	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
39.201655	40.409092	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
40.409092	42.382789	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
42.382789	44.217165	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
44.217165	46.167641	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
46.167641	48.036848	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
48.036848	51.9378	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
51.9378	53.876666	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
53.876666	55.780702	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
55.780702	57.673129	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
57.673129	59.600385	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
59.600385	61.550861	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
61.550861	63.489727	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
63.489727	67.36746	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
67.36746	71.198752	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
71.198752	73.137619	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
73.137619	75.088095	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
