start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.421247	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.421247	1.274255	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
1.274255	2.166234	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
2.166234	3.953211	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
3.953211	5.746892	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
5.746892	7.505864	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
7.505864	9.30541	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
9.30541	11.070127	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
11.070127	11.964095	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
11.964095	12.800013	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
12.800013	13.723731	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
13.723731	14.54151	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
14.54151	16.329446	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
16.329446	18.117383	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
18.117383	18.95455	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
18.95455	19.8821	A:7/3	9	1	0	1	0	0	1	0	0	1	0	1	0	0
19.8821	21.658426	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
21.658426	23.411533	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
23.411533	24.340331	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
24.340331	25.211079	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
25.211079	26.999016	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
26.999016	28.752122	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
28.752122	30.482009	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
30.482009	32.304775	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
32.304775	34.081102	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
34.081102	34.97507	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
34.97507	35.810988	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
35.810988	37.598925	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
37.598925	39.375251	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
39.375251	41.174798	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
41.174798	42.010716	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
42.010716	42.893075	A:7/3	9	1	0	1	0	0	1	0	0	1	0	1	0	0
42.893075	44.715841	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
44.715841	46.457338	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
46.457338	47.386136	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
47.386136	48.233664	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
48.233664	49.998381	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
49.998381	51.797927	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
51.797927	53.551034	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
53.551034	55.374892	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
55.374892	57.057247	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
57.057247	58.903233	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
58.903233	60.67956	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
60.67956	62.432666	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
62.432666	64.232213	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
64.232213	65.161011	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
65.161011	66.043369	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
66.043369	67.831306	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
67.831306	69.665682	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
69.665682	71.418789	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
71.418789	73.148676	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
73.148676	74.936612	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
74.936612	75.86541	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
75.86541	76.770988	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
76.770988	78.535705	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
78.535705	80.346861	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
80.346861	82.134798	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
82.134798	83.934344	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
83.934344	85.699061	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
85.699061	87.533437	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
87.533437	89.321374	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
89.321374	91.07448	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
91.07448	92.966907	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
92.966907	93.895705	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
93.895705	94.731623	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
94.731623	96.51956	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
96.51956	98.353936	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
98.353936	100.257973	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
100.257973	101.128721	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
101.128721	102.034299	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
102.034299	103.880285	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
103.880285	105.679832	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
105.679832	106.59702	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
106.59702	107.456158	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
107.456158	109.278925	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
109.278925	111.032032	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
111.032032	112.854798	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
112.854798	114.712394	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
114.712394	116.558381	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
116.558381	117.475569	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
117.475569	118.404367	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
118.404367	120.192304	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
120.192304	122.901657	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
122.901657	127.582041	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
