start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.440395	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.440395	1.900495	E/5	4	11	0	0	0	0	1	0	0	0	1	0	0	1
1.900495	3.398182	E/#4	4	10	0	0	0	0	1	0	0	0	1	0	1	1
3.398182	4.837819	E/4	4	9	0	0	0	0	1	0	0	0	1	1	0	1
4.837819	7.659045	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
7.659045	10.526708	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
10.526708	13.405983	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
13.405983	16.320087	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
16.320087	19.199361	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
19.199361	22.125076	B:9	11	11	0	1	0	1	0	0	1	0	0	1	0	1
22.125076	25.01596	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
25.01596	30.820949	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
30.820949	33.711833	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
33.711833	36.625937	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
36.625937	39.516821	B:9	11	11	0	1	0	1	0	0	1	0	0	1	0	1
39.516821	42.407706	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
42.407706	45.368251	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
45.368251	48.259135	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
48.259135	51.13841	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
51.13841	54.075733	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
54.075733	57.001447	B:9	11	11	0	1	0	1	0	0	1	0	0	1	0	1
57.001447	59.927161	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
59.927161	65.836641	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
65.836641	68.715914	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
68.715914	71.63002	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
71.63002	74.590564	B:9	11	11	0	1	0	1	0	0	1	0	0	1	0	1
74.590564	77.504667	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
77.504667	80.465211	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
80.465211	83.390927	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
83.390927	86.339861	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
86.339861	88.021569	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
88.021569	89.277185	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
89.277185	92.226118	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
92.226118	95.186663	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
95.186663	98.135598	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
98.135598	101.084531	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
101.084531	104.068296	B:9	11	11	0	1	0	1	0	0	1	0	0	1	0	1
104.068296	106.959181	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
106.959181	109.931335	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
109.931335	112.880268	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
112.880268	115.829202	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
115.829202	118.801356	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
118.801356	121.738681	B:9	11	11	0	1	0	1	0	0	1	0	0	1	0	1
121.738681	124.722446	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
124.722446	127.6946	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
127.6946	130.620314	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
130.620314	133.546029	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
133.546029	136.564623	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
136.564623	139.525167	B:9	11	11	0	1	0	1	0	0	1	0	0	1	0	1
139.525167	142.50893	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
142.50893	145.504304	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
145.504304	148.4068	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
148.4068	151.367344	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
151.367344	152.663904	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
152.663904	154.293058	B:9	11	11	0	1	0	1	0	0	1	0	0	1	0	1
154.293058	157.265211	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
157.265211	160.190926	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
160.190926	163.15147	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
163.15147	166.112014	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
166.112014	169.060948	B:9	11	11	0	1	0	1	0	0	1	0	0	1	0	1
169.060948	170.624363	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
170.624363	171.232014	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
171.232014	171.677482	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
171.677482	176.119728	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
176.119728	179.617959	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
