start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.437136	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.437136	1.698959	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
1.698959	2.372338	G/b7	7	5	0	0	1	0	0	1	0	1	0	0	0	1
2.372338	3.010887	E:min7	4	4	0	0	1	0	1	0	0	1	0	0	0	1
3.010887	4.241544	D:sus4	2	2	0	0	1	0	0	0	0	1	0	1	0	0
4.241544	4.845263	F:maj9	5	5	1	0	0	0	1	1	0	1	0	1	0	0
4.845263	5.483812	C/3	0	4	1	0	0	0	1	0	0	1	0	0	0	0
5.483812	6.726079	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
6.726079	7.329798	D/2	2	4	0	0	1	0	1	0	1	0	0	1	0	0
7.329798	7.633093	A:min/6	9	6	1	0	0	0	1	0	1	0	0	1	0	0
7.633093	7.968347	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
7.968347	10.452882	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
10.452882	17.860048	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
17.860048	20.332973	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
20.332973	21.58685	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
21.58685	22.829118	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
22.829118	24.071385	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
24.071385	25.325263	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
25.325263	26.567531	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
26.567531	27.821408	F:maj7	5	5	1	0	0	0	1	1	0	0	0	1	0	0
27.821408	30.294333	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
30.294333	37.713109	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
37.713109	40.162814	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
40.162814	41.416692	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
41.416692	42.624129	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
42.624129	43.901227	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
43.901227	45.131884	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
45.131884	46.350932	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
46.350932	47.639639	F:maj7	5	5	1	0	0	0	1	1	0	0	0	1	0	0
47.639639	50.135784	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
50.135784	52.62032	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
52.62032	53.885807	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
53.885807	55.151295	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
55.151295	56.381952	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
56.381952	57.601	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
57.601	60.155195	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
60.155195	61.374243	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
61.374243	62.65134	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
62.65134	63.905218	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
63.905218	65.112655	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
65.112655	72.69397	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
72.69397	75.201726	D:7(#9)	2	2	1	0	1	0	0	1	1	0	0	1	0	0
75.201726	76.467213	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
76.467213	77.744311	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
77.744311	79.009798	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
79.009798	80.275286	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
80.275286	81.494333	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
81.494333	82.783041	F:maj7	5	5	1	0	0	0	1	1	0	0	0	1	0	0
82.783041	85.232746	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
85.232746	92.848891	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
92.848891	94.097348	D:9	2	2	1	0	1	0	1	0	1	0	0	1	0	0
94.097348	95.345036	D:7(#9)	2	2	1	0	1	0	0	1	1	0	0	1	0	0
95.345036	96.633744	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
96.633744	97.922451	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
97.922451	99.141499	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
99.141499	100.395376	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
100.395376	101.695694	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
101.695694	102.984401	F:maj7	5	5	1	0	0	0	1	1	0	0	0	1	0	0
102.984401	105.538596	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
105.538596	108.069571	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
108.069571	109.346669	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
109.346669	110.635376	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
110.635376	111.854424	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
