start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.421247	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.421247	7.525011	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7.525011	9.370997	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
9.370997	11.124104	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
11.124104	12.93526	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
12.93526	14.746417	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
14.746417	16.557573	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
16.557573	18.40356	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
18.40356	20.319206	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
20.319206	22.141972	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
22.141972	24.011179	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
24.011179	27.679931	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
27.679931	29.560748	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
29.560748	31.429954	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
31.429954	33.3456	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
33.3456	35.168367	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
35.168367	37.072403	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
37.072403	38.906779	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
38.906779	40.787596	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
40.787596	44.491179	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
44.491179	46.370976	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
46.370976	48.217981	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
48.217981	50.063968	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
50.063968	51.898344	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
51.898344	53.721111	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
53.721111	57.401473	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
57.401473	61.128276	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
61.128276	62.997482	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
62.997482	64.808639	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
64.808639	66.677845	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
66.677845	68.558662	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
68.558662	70.439478	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
70.439478	74.131451	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
74.131451	76.023877	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
76.023877	77.858253	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
77.858253	79.75068	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
79.75068	81.561836	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
81.561836	83.454262	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
83.454262	85.277029	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
85.277029	87.102483	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
87.102483	88.969002	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
88.969002	90.849818	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
90.849818	92.707414	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
92.707414	94.588231	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
94.588231	96.422607	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
96.422607	98.245374	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
98.245374	100.07975	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
100.07975	103.818163	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
103.818163	107.591405	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
107.591405	109.472222	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
109.472222	111.283378	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
111.283378	113.175804	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
113.175804	115.056621	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
115.056621	116.925827	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
116.925827	118.771813	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
118.771813	120.64102	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
120.64102	122.521836	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
122.521836	124.332993	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
124.332993	126.271859	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
126.271859	128.164285	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
128.164285	130.021882	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
130.021882	131.914308	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
131.914308	132.482322	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
132.482322	133.765212	D:(1)	2	2	0	0	1	0	0	0	0	0	0	0	0	0
133.765212	135.567708	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135.567708	139.240204	A:(1)	9	9	0	0	0	0	0	0	0	0	0	1	0	0
139.240204	141.0978	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
141.0978	142.932176	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
142.932176	144.766553	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
144.766553	146.589319	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
146.589319	148.470135	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
148.470135	150.304512	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
150.304512	154.697143	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
