start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.442301	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.442301	7.70528	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
7.70528	10.549725	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
10.549725	13.370949	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
13.370949	14.752537	B:9	11	11	0	1	0	1	0	0	1	0	0	1	0	1
14.752537	16.192174	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
16.192174	18.932128	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
18.932128	24.632627	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
24.632627	27.488682	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
27.488682	30.298296	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
30.298296	31.714713	B:9	11	11	0	1	0	1	0	0	1	0	0	1	0	1
31.714713	33.107911	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
33.107911	35.882695	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
35.882695	38.63426	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
38.63426	41.478704	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
41.478704	44.311539	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
44.311539	47.109543	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
47.109543	48.491131	B:9	11	11	0	1	0	1	0	0	1	0	0	1	0	1
48.491131	49.919158	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
49.919158	52.728772	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
52.728772	58.382831	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
58.382831	61.157616	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
61.157616	64.03689	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
64.03689	65.418478	B:9	11	11	0	1	0	1	0	0	1	0	0	1	0	1
65.418478	66.858115	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
66.858115	69.621289	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
69.621289	72.396074	E:7(#9)	4	4	0	0	1	0	1	0	0	1	1	0	0	1
72.396074	75.182469	E:7(#9)	4	4	0	0	1	0	1	0	0	1	1	0	0	1
75.182469	78.026913	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
78.026913	80.836527	E:7(#9)	4	4	0	0	1	0	1	0	0	1	1	0	0	1
80.836527	82.264555	B:9	11	11	0	1	0	1	0	0	1	0	0	1	0	1
82.264555	83.669362	A:9	9	9	0	1	0	0	1	0	0	1	0	1	0	1
83.669362	85.039339	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
85.039339	86.432537	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
86.432537	89.242151	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
89.242151	92.121425	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
92.121425	94.94265	A:9	9	9	0	1	0	0	1	0	0	1	0	1	0	1
94.94265	97.775484	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
97.775484	99.215122	B:9	11	11	0	1	0	1	0	0	1	0	0	1	0	1
99.215122	100.585099	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
100.585099	103.394713	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
103.394713	109.013942	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
109.013942	111.858387	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
111.858387	114.691221	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
114.691221	116.107639	B:9	11	11	0	1	0	1	0	0	1	0	0	1	0	1
116.107639	117.489226	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
117.489226	120.32206	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
120.32206	125.918069	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
125.918069	128.785734	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
128.785734	131.595348	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
131.595348	133.034986	B:9	11	11	0	1	0	1	0	0	1	0	0	1	0	1
133.034986	134.486233	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
134.486233	135.94909	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
135.94909	136.489038	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
136.489038	136.970768	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
136.970768	139.699113	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
139.699113	142.630556	E:9	4	4	0	0	1	0	1	0	1	0	1	0	0	1
142.630556	143.751837	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
