start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.440395	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.440395	1.302038	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.302038	2.734716	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
2.734716	4.116303	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
4.116303	5.439841	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
5.439841	6.740158	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
6.740158	8.110136	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
8.110136	9.410453	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
9.410453	10.78043	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
10.78043	12.092358	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
12.092358	13.427505	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
13.427505	14.751043	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
14.751043	16.03975	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
16.03975	17.374897	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
17.374897	21.36873	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
21.36873	22.738707	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
22.738707	24.108684	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
24.108684	25.443832	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
25.443832	26.802199	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
26.802199	28.102517	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
28.102517	29.507324	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
29.507324	30.819251	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
30.819251	32.131179	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
32.131179	33.466326	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
33.466326	34.813083	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
34.813083	36.148231	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
36.148231	37.529818	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
37.529818	38.899795	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
38.899795	42.905238	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
42.905238	44.228775	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
44.228775	45.610362	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
45.610362	46.95712	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
46.95712	48.280657	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
48.280657	49.604195	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
49.604195	51.020612	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
51.020612	52.390589	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
52.390589	53.702517	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
53.702517	55.107324	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
55.107324	56.454081	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
