start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	1.129709	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.129709	3.04447	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.04447	5.20815	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
5.20815	7.158117	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
7.158117	9.050544	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
9.050544	11.03585	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
11.03585	12.997936	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
12.997936	14.983242	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
14.983242	16.933718	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
16.933718	20.741791	A:min7(*5,b6)	9	9	1	0	0	0	0	1	0	1	0	1	0	0
20.741791	22.680657	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
22.680657	24.654353	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
24.654353	26.581609	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
26.581609	28.508866	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
28.508866	30.494172	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
30.494172	31.43458	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
31.43458	32.421428	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
32.421428	33.431496	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
33.431496	34.406734	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
34.406734	36.3456	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
36.3456	38.307687	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
38.307687	40.304603	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
40.304603	42.278299	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
42.278299	44.251995	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
44.251995	46.225691	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
46.225691	48.176167	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
48.176167	52.07712	A:min7(*5,b6)	9	9	1	0	0	0	0	1	0	1	0	1	0	0
52.07712	54.027596	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
54.027596	55.931632	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
55.931632	57.951768	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
57.951768	59.879024	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
59.879024	61.841111	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
61.841111	62.839569	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
62.839569	63.826417	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
63.826417	64.836485	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
64.836485	65.811723	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
65.811723	67.785419	A:7(#9)	9	9	1	1	0	0	1	0	0	1	0	1	0	0
67.785419	69.747505	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
69.747505	71.686371	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
71.686371	73.636848	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
73.636848	75.622154	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
75.622154	77.58424	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
77.58424	79.523106	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
79.523106	83.424058	A:min(*5)	9	9	1	0	0	0	0	0	0	0	0	1	0	0
83.424058	85.409365	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
85.409365	87.301791	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
87.301791	89.310317	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
89.310317	91.272403	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
91.272403	93.246099	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
93.246099	94.198117	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
94.198117	95.196575	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
95.196575	96.195034	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
96.195034	97.158662	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
97.158662	99.085918	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
99.085918	101.071224	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
101.071224	103.03331	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
103.03331	104.960566	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
104.960566	106.980702	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
106.980702	108.919569	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
108.919569	110.881655	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
110.881655	114.782607	A:min7(*5,b6)	9	9	1	0	0	0	0	1	0	1	0	1	0	0
114.782607	116.721473	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
116.721473	118.66034	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
118.66034	120.657256	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
120.657256	122.596122	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
122.596122	124.581428	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
124.581428	125.545056	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
125.545056	126.555124	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
126.555124	127.518752	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
127.518752	128.49399	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
128.49399	130.479297	A:7(#9)	9	9	1	1	0	0	1	0	0	1	0	1	0	0
130.479297	131.500975	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
131.500975	132.464603	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
132.464603	134.415079	A:7(#9)	9	9	1	1	0	0	1	0	0	1	0	1	0	0
134.415079	135.425147	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
135.425147	136.400385	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
136.400385	138.374081	A:7(#9)	9	9	1	1	0	0	1	0	0	1	0	1	0	0
138.374081	139.360929	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
139.360929	140.278117	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
140.278117	142.251814	A:7(#9)	9	9	1	1	0	0	1	0	0	1	0	1	0	0
142.251814	143.238662	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
143.238662	144.19068	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
144.19068	146.175986	A:7(#9)	9	9	1	1	0	0	1	0	0	1	0	1	0	0
146.175986	150.282449	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
