start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.440395	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.440395	2.537346	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
2.537346	4.511043	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
4.511043	6.507959	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
6.507959	8.504875	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
8.504875	10.664331	A:maj6	9	9	0	1	0	0	1	0	1	0	0	1	0	0
10.664331	12.672857	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
12.672857	16.655079	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
16.655079	18.628775	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
18.628775	20.660521	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
20.660521	22.610997	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
22.610997	24.573083	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
24.573083	26.57	A:maj6	9	9	0	1	0	0	1	0	1	0	0	1	0	0
26.57	28.520476	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
28.520476	32.444648	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
32.444648	34.383514	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
34.383514	36.40365	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
36.40365	38.354126	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
38.354126	40.351043	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
40.351043	42.371179	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
42.371179	44.310045	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
44.310045	46.272131	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
46.272131	48.199387	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
48.199387	50.196303	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
50.196303	52.17	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
52.17	54.132086	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
54.132086	56.129002	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
56.129002	58.102698	A:maj6	9	9	0	1	0	0	1	0	1	0	0	1	0	0
58.102698	60.088004	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
60.088004	64.012176	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
64.012176	66.043922	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
66.043922	68.006009	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
