start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.421247	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.421247	1.415375	F:min/5	5	0	1	0	0	0	0	1	0	0	1	0	0	0
1.415375	2.374807	E:aug	4	4	1	0	0	0	1	0	0	0	1	0	0	0
2.374807	3.384875	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
3.384875	4.371723	F:min6/5	5	0	1	0	1	0	0	1	0	0	1	0	0	0
4.371723	5.457069	C#:maj7/3	1	5	1	1	0	0	0	1	0	0	1	0	0	0
5.457069	5.916612	Bb:min/5	10	5	0	1	0	0	0	1	0	0	0	0	1	0
5.916612	6.438568	C#/3	1	5	0	1	0	0	0	1	0	0	1	0	0	0
6.438568	8.470045	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
8.470045	10.571451	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
10.571451	12.614807	Bb:min7	10	10	0	1	0	0	0	1	0	0	1	0	1	0
12.614807	14.681383	Eb:maj6	3	3	1	0	0	1	0	0	0	1	0	0	1	0
14.681383	16.736349	B:dim7	11	11	0	0	1	0	0	1	0	0	1	0	0	1
16.736349	17.769637	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
17.769637	18.802925	B:dim7	11	11	0	0	1	0	0	1	0	0	1	0	0	1
18.802925	20.869501	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
20.869501	22.996281	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
22.996281	24.991043	Bb:min7	10	10	0	1	0	0	0	1	0	0	1	0	1	0
24.991043	27.034399	Eb:maj6	3	3	1	0	0	1	0	0	0	1	0	0	1	0
27.034399	29.031315	B:dim7	11	11	0	0	1	0	0	1	0	0	1	0	0	1
29.031315	30.076213	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
30.076213	31.086281	B:dim7	11	11	0	0	1	0	0	1	0	0	1	0	0	1
31.086281	33.164467	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
33.164467	37.274399	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
37.274399	39.282925	Ab:7	8	8	1	0	0	1	0	0	1	0	1	0	0	0
39.282925	41.384331	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
41.384331	43.358027	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
43.358027	45.378163	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
45.378163	46.388231	F:min/5	5	0	1	0	0	0	0	1	0	0	1	0	0	0
46.388231	47.375079	E:aug	4	4	1	0	0	0	1	0	0	0	1	0	0	0
47.375079	48.408367	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
48.408367	49.406825	F:min6/5	5	0	1	0	1	0	0	1	0	0	1	0	0	0
49.406825	51.450181	C#:maj7/3	1	5	1	1	0	0	0	1	0	0	1	0	0	0
51.450181	53.563197	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
53.563197	55.513673	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
55.513673	57.591859	Bb:min7	10	10	0	1	0	0	0	1	0	0	1	0	1	0
57.591859	59.577165	Eb:maj6	3	3	1	0	0	1	0	0	0	1	0	0	1	0
59.577165	61.666961	B:dim7	11	11	0	0	1	0	0	1	0	0	1	0	0	1
61.666961	62.618979	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
62.618979	63.617437	B:dim7	11	11	0	0	1	0	0	1	0	0	1	0	0	1
63.617437	65.672403	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
65.672403	69.724285	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
69.724285	71.686371	Ab:7	8	8	1	0	0	1	0	0	1	0	1	0	0	0
71.686371	73.752947	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
73.752947	75.749863	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
75.749863	77.793219	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
77.793219	78.803287	F:min/5	5	0	1	0	0	0	0	1	0	0	1	0	0	0
78.803287	79.801746	E:aug	4	4	1	0	0	0	1	0	0	0	1	0	0	0
79.801746	80.846643	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
80.846643	81.833492	F:min6/5	5	0	1	0	1	0	0	1	0	0	1	0	0	0
81.833492	83.888458	C#:maj7/3	1	5	1	1	0	0	0	1	0	0	1	0	0	0
83.888458	85.908594	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
85.908594	87.90551	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
87.90551	89.948866	Bb:min7	10	10	0	1	0	0	0	1	0	0	1	0	1	0
89.948866	91.969002	Eb:maj6	3	3	1	0	0	1	0	0	0	1	0	0	1	0
91.969002	93.989138	B:dim7	11	11	0	0	1	0	0	1	0	0	1	0	0	1
93.989138	94.999206	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
94.999206	95.997664	B:dim7	11	11	0	0	1	0	0	1	0	0	1	0	0	1
95.997664	98.04102	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
98.04102	102.058072	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
102.058072	104.089818	Ab:7	8	8	1	0	0	1	0	0	1	0	1	0	0	0
104.089818	106.109954	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
106.109954	108.18814	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
108.18814	110.208276	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
110.208276	111.228473	F:min/5	5	0	1	0	0	0	0	1	0	0	1	0	0	0
111.228473	112.216802	E:aug	4	4	1	0	0	0	1	0	0	0	1	0	0	0
112.216802	113.22687	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
113.22687	114.190498	F:min6/5	5	0	1	0	1	0	0	1	0	0	1	0	0	0
114.190498	116.257074	C#:maj7/3	1	5	1	1	0	0	0	1	0	0	1	0	0	0
116.257074	118.37009	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
118.37009	120.413446	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
120.413446	122.596122	Bb:min7	10	10	0	1	0	0	0	1	0	0	1	0	1	0
122.596122	124.732358	Eb:maj6	3	3	1	0	0	1	0	0	0	1	0	0	1	0
124.732358	126.868594	B:dim7	11	11	0	0	1	0	0	1	0	0	1	0	0	1
126.868594	127.971541	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
127.971541	128.981609	B:dim7	11	11	0	0	1	0	0	1	0	0	1	0	0	1
128.981609	131.199115	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
131.199115	132.302063	F:min/5	5	0	1	0	0	0	0	1	0	0	1	0	0	0
132.302063	133.381791	E:aug	4	4	1	0	0	0	1	0	0	0	1	0	0	0
133.381791	134.507959	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
134.507959	135.552857	F:min6/5	5	0	1	0	1	0	0	1	0	0	1	0	0	0
135.552857	137.700702	C#:maj7/3	1	5	1	1	0	0	0	1	0	0	1	0	0	0
