start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.4021	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.4021	1.132539	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
1.132539	1.829138	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
1.829138	3.048185	B/5	11	6	0	0	0	1	0	0	1	0	0	0	0	1
3.048185	3.744784	B:min/5	11	6	0	0	1	0	0	0	1	0	0	0	0	1
3.744784	4.882562	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
4.882562	5.544331	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
5.544331	6.774988	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
6.774988	7.506417	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
7.506417	8.702244	B/5	11	6	0	0	0	1	0	0	1	0	0	0	0	1
8.702244	9.422063	B:min/5	11	6	0	0	1	0	0	0	1	0	0	0	0	1
9.422063	10.606281	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
10.606281	11.337709	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
11.337709	12.487097	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
12.487097	13.206916	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
13.206916	14.298253	D:maj7	2	2	0	1	1	0	0	0	1	0	0	1	0	0
14.298253	15.018072	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
15.018072	16.15585	D:maj7	2	2	0	1	1	0	0	0	1	0	0	1	0	0
16.15585	16.864058	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
16.864058	17.990226	D:maj7	2	2	0	1	1	0	0	0	1	0	0	1	0	0
17.990226	18.930634	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
18.930634	19.882653	C#:7	1	1	0	1	0	0	0	1	0	0	1	0	0	1
19.882653	21.728639	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
