start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.382952	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.382952	7.796666	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
7.796666	15.238662	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
15.238662	18.907414	G:maj/9	7	9	0	0	1	0	0	0	0	1	0	1	0	1
18.907414	30.018163	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
30.018163	33.686916	G:maj/9	7	9	0	0	1	0	0	0	0	1	0	1	0	1
33.686916	37.436938	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
37.436938	39.259705	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
39.259705	42.951678	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
42.951678	44.855714	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
44.855714	46.72492	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
46.72492	48.617346	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
48.617346	50.498163	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
50.498163	52.355759	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
52.355759	59.937074	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
59.937074	63.687097	G:maj/9	7	9	0	0	1	0	0	0	0	1	0	1	0	1
63.687097	67.43712	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
67.43712	74.960385	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
74.960385	78.698798	G:maj/9	7	9	0	0	1	0	0	0	0	1	0	1	0	1
78.698798	82.44882	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
82.44882	90.030136	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
90.030136	93.814988	G:maj/9	7	9	0	0	1	0	0	0	0	1	0	1	0	1
93.814988	97.611451	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
97.611451	99.515487	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
99.515487	103.31195	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
103.31195	105.262426	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
105.262426	107.178072	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
107.178072	109.047278	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
109.047278	110.962925	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
110.962925	112.901791	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
112.901791	120.575986	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
120.575986	124.384058	G:maj/9	7	9	0	0	1	0	0	0	0	1	0	1	0	1
124.384058	128.215351	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
128.215351	135.843106	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
135.843106	139.624381	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
139.624381	143.856327	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
