start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.412721	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.412721	2.908866	Eb:min	3	3	0	0	0	1	0	0	1	0	0	0	1	0
2.908866	5.149591	Ab:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
5.149591	6.310589	Gb	6	6	0	1	0	0	0	0	1	0	0	0	1	0
6.310589	7.459977	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
7.459977	8.620975	Gb	6	6	0	1	0	0	0	0	1	0	0	0	1	0
8.620975	9.689092	Bb:7	10	10	0	0	1	0	0	1	0	0	1	0	1	0
9.689092	12.045918	Eb:min	3	3	0	0	0	1	0	0	1	0	0	0	1	0
12.045918	14.367913	Ab:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
14.367913	15.552131	Gb	6	6	0	1	0	0	0	0	1	0	0	0	1	0
15.552131	16.713129	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
16.713129	17.850907	Gb	6	6	0	1	0	0	0	0	1	0	0	0	1	0
17.850907	21.36873	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
21.36873	23.667505	Gb	6	6	0	1	0	0	0	0	1	0	0	0	1	0
23.667505	25.943061	Ab:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
25.943061	28.253446	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
28.253446	30.552222	Ab:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
30.552222	35.231043	B:maj7	11	11	0	0	0	1	0	0	1	0	0	0	1	1
35.231043	37.599478	Eb:min	3	3	0	0	0	1	0	0	1	0	0	0	1	0
37.599478	39.840204	Ab:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
39.840204	41.012811	Gb	6	6	0	1	0	0	0	0	1	0	0	0	1	0
41.012811	42.197029	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
42.197029	43.323197	Gb	6	6	0	1	0	0	0	0	1	0	0	0	1	0
43.323197	44.472585	Bb:7	10	10	0	0	1	0	0	1	0	0	1	0	1	0
44.472585	46.80619	Eb:min	3	3	0	0	0	1	0	0	1	0	0	0	1	0
46.80619	49.151405	Ab:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
