start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.421247	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.421247	6.148049	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
6.148049	17.699977	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
17.699977	26.48873	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
26.48873	27.986417	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
27.986417	29.426054	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
29.426054	32.328548	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
32.328548	43.984965	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
43.984965	52.727278	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
52.727278	54.178526	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
54.178526	55.629773	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
55.629773	58.625147	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
58.625147	61.620521	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
61.620521	63.091379	E/5	4	11	0	0	0	0	1	0	0	0	1	0	0	1
63.091379	64.604285	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
64.604285	67.541609	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
67.541609	70.444104	E/5	4	11	0	0	0	0	1	0	0	0	1	0	0	1
70.444104	85.165555	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
85.165555	93.965918	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
93.965918	95.347505	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
95.347505	96.821972	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
96.821972	99.794126	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
99.794126	102.784377	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
102.784377	104.298798	E/5	4	11	0	0	0	0	1	0	0	0	1	0	0	1
104.298798	105.819705	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
105.819705	108.757029	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
108.757029	111.764013	E/5	4	11	0	0	0	0	1	0	0	0	1	0	0	1
111.764013	126.469972	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
126.469972	129.380409	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
129.380409	130.108018	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
130.108018	130.586708	E/5	4	11	0	0	0	0	1	0	0	0	1	0	0	1
130.586708	131.812155	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
131.812155	135.209796	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
