start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.287214	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.287214	1.744648	A/5	9	4	0	1	0	0	1	0	0	0	0	1	0	0
1.744648	3.195895	A:7/b7	9	7	0	1	0	0	1	0	0	1	0	1	0	0
3.195895	4.728412	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
4.728412	6.144829	D:min/b3	2	5	0	0	1	0	0	1	0	0	0	1	0	0
6.144829	7.572857	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
7.572857	9.037672	A:7/b7	9	7	0	1	0	0	1	0	0	1	0	1	0	0
9.037672	10.463741	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
10.463741	11.856938	F:aug	5	5	0	1	0	0	0	1	0	0	0	1	0	0
11.856938	13.215306	A/5	9	4	0	1	0	0	1	0	0	0	0	1	0	0
13.215306	14.689773	A:7/b7	9	7	0	1	0	0	1	0	0	1	0	1	0	0
14.689773	16.10619	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
16.10619	18.788095	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
18.788095	20.204512	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
20.204512	21.562879	A:7/b7	9	7	0	1	0	0	1	0	0	1	0	1	0	0
21.562879	22.956077	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
22.956077	24.360884	F:aug	5	5	0	1	0	0	0	1	0	0	0	1	0	0
24.360884	25.684421	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
25.684421	27.077619	A:7/b7	9	7	0	1	0	0	1	0	0	1	0	1	0	0
27.077619	29.794353	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
29.794353	31.106281	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
31.106281	32.453038	D:min/b7	2	0	1	0	1	0	0	1	0	0	0	1	0	0
32.453038	35.111723	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
35.111723	37.712358	C:maj(9)	0	0	1	0	1	0	1	0	0	1	0	0	0	0
37.712358	40.289773	F:maj6	5	5	1	0	1	0	0	1	0	0	0	1	0	0
