start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	1.2063	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.2063	31.46941	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
31.46941	60.391566	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
60.391566	64.139886	F#/5	6	1	0	1	0	0	0	0	1	0	0	0	1	0
64.139886	118.925813	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
118.925813	127.006105	F#/5	6	1	0	1	0	0	0	0	1	0	0	0	1	0
127.006105	130.815986	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
130.815986	135.564467	F#/5	6	1	0	1	0	0	0	0	1	0	0	0	1	0
135.564467	136.062925	C#:sus4	1	1	0	1	0	0	0	0	1	0	1	0	0	0
136.062925	273.485331	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
273.485331	281.240113	F#/5	6	1	0	1	0	0	0	0	1	0	0	0	1	0
281.240113	284.961655	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
284.961655	289.594036	F#/5	6	1	0	1	0	0	0	0	1	0	0	0	1	0
289.594036	290.028867	C#:sus4	1	1	0	1	0	0	0	0	1	0	1	0	0	0
290.028867	304.466166	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
304.466166	305.084082	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
