start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	3.599751	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.599751	4.615532	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
4.615532	5.66043	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
5.66043	6.705328	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
6.705328	7.761836	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
7.761836	8.760294	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
8.760294	9.770362	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
9.770362	10.052496	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
10.052496	11.732448	A/5	9	4	0	1	0	0	1	0	0	0	0	1	0	0
11.732448	12.463877	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
12.463877	13.206916	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
13.206916	15.645011	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
15.645011	16.179731	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
16.179731	16.655079	E:(1)	4	4	0	0	0	0	1	0	0	0	0	0	0	0
16.655079	17.421337	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
17.421337	18.141156	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
18.141156	20.567641	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
20.567641	22.518117	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
22.518117	25.014263	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
25.014263	26.976349	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
26.976349	27.754217	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
27.754217	28.485646	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
28.485646	29.983333	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
29.983333	30.970181	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
30.970181	31.922199	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
31.922199	33.872675	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
33.872675	34.604104	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
34.604104	35.300702	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
35.300702	37.785238	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
37.785238	38.330907	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
38.330907	38.841746	E:(1)	4	4	0	0	0	0	1	0	0	0	0	0	0	0
38.841746	39.573174	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
39.573174	40.281383	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
40.281383	42.765918	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
42.765918	43.752292	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
43.752292	44.728004	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
44.728004	45.714852	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
45.714852	46.72492	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
46.72492	47.711768	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
47.711768	48.698616	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
48.698616	49.731904	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
49.731904	50.730362	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
50.730362	51.71721	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
51.71721	52.680839	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
52.680839	53.702517	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
53.702517	54.666145	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
54.666145	55.420793	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
55.420793	56.129002	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
56.129002	58.590317	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
58.590317	59.112766	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
59.112766	59.646825	E:(1)	4	4	0	0	0	0	1	0	0	0	0	0	0	0
59.646825	60.413083	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
60.413083	61.063242	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
61.063242	63.570997	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
63.570997	65.498253	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
65.498253	68.040839	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
68.040839	69.956485	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
69.956485	70.711133	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
70.711133	71.500612	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
71.500612	72.940249	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
72.940249	73.950317	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
73.950317	74.890725	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
74.890725	76.876031	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
76.876031	77.61907	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
77.61907	78.350498	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
78.350498	80.835034	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
80.835034	81.339052	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
81.339052	81.817743	A/5	9	4	0	1	0	0	1	0	0	0	0	1	0	0
81.817743	82.61136	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
82.61136	83.307959	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
83.307959	85.734444	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
85.734444	86.744512	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
86.744512	87.70814	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
87.70814	88.683378	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
88.683378	89.693446	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
89.693446	90.622244	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
90.622244	91.609092	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
91.609092	92.595941	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
92.595941	93.571179	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
93.571179	94.569637	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
94.569637	95.521655	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
95.521655	96.624603	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
96.624603	97.518571	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
97.518571	98.296439	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
98.296439	99.016258	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
99.016258	101.442743	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
101.442743	101.884439	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
101.884439	102.487641	E:(1)	4	4	0	0	0	0	1	0	0	0	0	0	0	0
102.487641	103.23068	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
103.23068	103.950498	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
103.950498	106.376984	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
106.376984	108.30424	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
108.30424	110.777165	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
110.777165	112.716031	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
112.716031	113.48229	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
113.48229	114.225328	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
114.225328	115.723015	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
115.723015	116.675034	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
116.675034	117.627052	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
117.627052	119.623968	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
119.623968	120.541156	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
120.541156	121.539614	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
121.539614	122.549682	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
122.549682	123.44365	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
123.44365	124.418888	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
124.418888	125.440566	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
125.440566	126.450634	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
126.450634	127.367823	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
127.367823	128.296621	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
128.296621	129.295079	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
129.295079	130.014897	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
130.014897	131.187505	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
131.187505	132.209183	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
132.209183	133.196031	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
133.196031	133.8578	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
133.8578	135.076848	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
135.076848	135.808276	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
135.808276	136.853174	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
136.853174	137.747142	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
137.747142	139.02424	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
139.02424	140.022698	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
140.022698	141.032766	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
141.032766	141.752585	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
141.752585	143.041292	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
143.041292	143.795941	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
143.795941	144.759569	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
144.759569	145.699977	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
145.699977	146.907414	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
146.907414	147.720113	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
147.720113	148.672131	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
148.672131	149.658979	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
149.658979	150.785147	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
150.785147	151.644285	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
151.644285	152.625609	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
152.625609	153.621285	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
153.621285	154.559518	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
154.559518	161.332245	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
