start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.51721	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.51721	1.148857	G:(1)	7	7	0	0	0	0	0	0	0	1	0	0	0	0
1.148857	12.533537	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12.533537	20.532811	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
20.532811	21.542879	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
21.542879	22.564557	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
22.564557	23.586235	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
23.586235	24.607913	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
24.607913	26.651269	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
26.651269	28.578526	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
28.578526	29.611814	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
29.611814	30.621882	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
30.621882	31.66678	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
31.66678	32.700068	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
32.700068	34.755034	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
34.755034	36.6939	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
36.6939	38.760476	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
38.760476	40.803832	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
40.803832	42.823968	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
42.823968	44.820884	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
44.820884	45.842562	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
45.842562	46.85263	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
46.85263	47.862698	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
47.862698	48.907596	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
48.907596	50.950952	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
50.950952	52.959478	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
52.959478	54.015986	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
54.015986	55.014444	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
55.014444	56.036122	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
56.036122	57.06941	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
57.06941	59.089546	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
59.089546	61.086462	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
61.086462	63.141428	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
63.141428	65.149954	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
65.149954	67.1817	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
67.1817	71.198752	C:maj(2)	0	0	1	0	1	0	1	0	0	1	0	0	0	0
71.198752	73.242108	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
73.242108	75.273854	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
75.273854	77.27077	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
77.27077	78.915918	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
