start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.4021	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.4021	10.885011	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
10.885011	15.935351	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
15.935351	21.148231	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
21.148231	23.714036	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
23.714036	26.314671	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
26.314671	28.899196	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
28.899196	31.527551	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
31.527551	39.386636	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
39.386636	41.89526	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
41.89526	47.02687	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
47.02687	52.14687	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
52.14687	54.712675	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
54.712675	57.27848	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
57.27848	59.802639	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
59.802639	62.41009	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
62.41009	70.095895	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
70.095895	72.63848	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
72.63848	77.7817	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
77.7817	82.87848	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
82.87848	85.467505	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
85.467505	88.09136	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
88.09136	98.205452	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
98.205452	110.939281	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
110.939281	130.065191	F#:dim	6	6	1	0	0	0	0	0	1	0	0	1	0	0
130.065191	136.986122	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
