start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.536133	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.536133	3.059795	F:maj6	5	5	1	0	1	0	0	1	0	0	0	1	0	0
3.059795	5.544331	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
5.544331	7.994036	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
7.994036	10.455351	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
10.455351	12.916666	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
12.916666	15.354761	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
15.354761	17.816077	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
17.816077	19.081564	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
19.081564	20.323832	D:min7/4	2	7	1	0	1	0	0	1	0	1	0	1	0	0
20.323832	21.542879	F:maj/9	5	7	1	0	0	0	0	1	0	1	0	1	0	0
21.542879	22.808367	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
22.808367	24.050634	C/7	0	11	1	0	0	0	1	0	0	1	0	0	0	1
24.050634	25.316122	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
25.316122	26.52356	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
26.52356	27.777437	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
27.777437	29.008095	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
29.008095	30.250362	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
30.250362	31.46941	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
31.46941	32.688458	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
32.688458	33.930725	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
33.930725	35.161383	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
35.161383	36.36882	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
36.36882	38.818526	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
38.818526	41.268231	F:maj6	5	5	1	0	1	0	0	1	0	0	0	1	0	0
41.268231	43.729546	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
43.729546	46.179251	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
46.179251	48.605736	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
48.605736	51.020612	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
51.020612	53.493537	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
53.493537	55.885192	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
55.885192	57.08102	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
57.08102	58.300068	D:min7/4	2	7	1	0	1	0	0	1	0	1	0	1	0	0
58.300068	59.553945	F:maj/9	5	7	1	0	0	0	0	1	0	1	0	1	0	0
59.553945	60.774518	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
60.774518	62.0617	C/7	0	11	1	0	0	0	1	0	0	1	0	0	0	1
62.0617	63.280748	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
63.280748	64.488185	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
64.488185	65.718843	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
65.718843	66.949501	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
66.949501	68.156938	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
68.156938	69.387596	C/7	0	11	1	0	0	0	1	0	0	1	0	0	0	1
69.387596	70.595034	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
70.595034	71.802471	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
71.802471	72.998299	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
72.998299	74.228956	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
74.228956	76.690272	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
76.690272	79.035487	F:maj6	5	5	1	0	1	0	0	1	0	0	0	1	0	0
