start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	1.747868	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.747868	3.373265	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
3.373265	5.021882	C/9	0	2	1	0	1	0	1	0	0	1	0	0	0	0
5.021882	6.612448	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
6.612448	8.226235	A/4	9	2	0	1	1	0	1	0	0	0	0	1	0	0
8.226235	11.500249	C/9	0	2	1	0	1	0	1	0	0	1	0	0	0	0
11.500249	13.148866	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
13.148866	14.820251	D/b7	2	0	1	0	1	0	0	0	1	0	0	1	0	0
14.820251	16.434489	G:maj7/3	7	11	0	0	1	0	0	0	1	1	0	0	0	1
16.434489	18.094716	G:minmaj7/b3	7	10	0	0	1	0	0	0	1	1	0	0	1	0
18.094716	19.685283	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
19.685283	21.35712	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
21.35712	23.028956	G:maj7/3	7	11	0	0	1	0	0	0	1	1	0	0	0	1
23.028956	24.654353	G:minmaj7/5	7	2	0	0	1	0	0	0	1	1	0	0	1	0
24.654353	26.24492	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
26.24492	27.881927	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
27.881927	29.525617	G:maj7/3	7	11	0	0	1	0	0	0	1	1	0	0	0	1
29.525617	31.132721	G:minmaj7/5	7	2	0	0	1	0	0	0	1	1	0	0	1	0
31.132721	32.792947	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
32.792947	34.429954	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
34.429954	36.090181	G:maj7/3	7	11	0	0	1	0	0	0	1	1	0	0	0	1
36.090181	37.762018	G:minmaj7/5	7	2	0	0	1	0	0	0	1	1	0	0	1	0
37.762018	39.326077	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
39.326077	40.885102	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
40.885102	42.406009	G:maj7/3	7	11	0	0	1	0	0	0	1	1	0	0	0	1
42.406009	44.077084	G:minmaj7/5	7	2	0	0	1	0	0	0	1	1	0	0	1	0
44.077084	45.703242	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
45.703242	47.317029	D/b7	2	0	1	0	1	0	0	0	1	0	0	1	0	0
47.317029	48.930816	G:maj7/3	7	11	0	0	1	0	0	0	1	1	0	0	0	1
48.930816	50.575235	G:minmaj7/b3	7	10	0	0	1	0	0	0	1	1	0	0	1	0
50.575235	52.193219	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
52.193219	53.783786	D/b7	2	0	1	0	1	0	0	0	1	0	0	1	0	0
53.783786	55.397573	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
55.397573	57.012083	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
57.012083	58.683197	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
58.683197	60.285374	D/b7	2	0	1	0	1	0	0	0	1	0	0	1	0	0
60.285374	61.93399	G:maj7/3	7	11	0	0	1	0	0	0	1	1	0	0	0	1
61.93399	63.547777	G:minmaj7/b3	7	10	0	0	1	0	0	0	1	1	0	0	1	0
63.547777	65.149954	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
65.149954	66.728911	D/b7	2	0	1	0	1	0	0	0	1	0	0	1	0	0
66.728911	68.337824	G:maj7/3	7	11	0	0	1	0	0	0	1	1	0	0	0	1
68.337824	69.910045	G:minmaj7/b3	7	10	0	0	1	0	0	0	1	1	0	0	1	0
69.910045	71.49718	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
71.49718	73.044739	D/b7	2	0	1	0	1	0	0	0	1	0	0	1	0	0
73.044739	74.635306	G:maj7/3	7	11	0	0	1	0	0	0	1	1	0	0	0	1
74.635306	76.191043	G:minmaj7/b3	7	10	0	0	1	0	0	0	1	1	0	0	1	0
76.191043	77.781609	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
77.781609	79.418616	D/b7	2	0	1	0	1	0	0	0	1	0	0	1	0	0
79.418616	81.009183	G:maj7/3	7	11	0	0	1	0	0	0	1	1	0	0	0	1
81.009183	82.64109	G:minmaj7/b3	7	10	0	0	1	0	0	0	1	1	0	0	1	0
82.64109	84.190317	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
84.190317	85.800446	D/b7	2	0	1	0	1	0	0	0	1	0	0	1	0	0
85.800446	87.348231	G:maj7/3	7	11	0	0	1	0	0	0	1	1	0	0	0	1
87.348231	88.892358	G:minmaj7/b3	7	10	0	0	1	0	0	0	1	1	0	0	1	0
88.892358	90.459705	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
90.459705	92.073492	D/b7	2	0	1	0	1	0	0	0	1	0	0	1	0	0
92.073492	93.687278	G:maj7/3	7	11	0	0	1	0	0	0	1	1	0	0	0	1
93.687278	95.301065	G:minmaj7/b3	7	10	0	0	1	0	0	0	1	1	0	0	1	0
95.301065	98.470589	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
98.470589	100.095986	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
100.095986	101.686553	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
101.686553	108.16492	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
108.16492	114.527188	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
114.527188	120.773356	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
120.773356	122.391531	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
122.391531	123.908049	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
123.908049	125.463786	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
125.463786	127.124013	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
127.124013	128.710242	D/b7	2	0	1	0	1	0	0	0	1	0	0	1	0	0
128.710242	130.328367	G:maj7/3	7	11	0	0	1	0	0	0	1	1	0	0	0	1
130.328367	131.930544	G:minmaj7/b3	7	10	0	0	1	0	0	0	1	1	0	0	1	0
131.930544	133.544331	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
133.544331	135.181337	D/b7	2	0	1	0	1	0	0	0	1	0	0	1	0	0
135.181337	136.771387	G:maj7/3	7	11	0	0	1	0	0	0	1	1	0	0	0	1
136.771387	138.374081	G:minmaj7/b3	7	10	0	0	1	0	0	0	1	1	0	0	1	0
138.374081	139.969038	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
139.969038	141.549355	D/b7	2	0	1	0	1	0	0	0	1	0	0	1	0	0
141.549355	143.180612	G:maj7/3	7	11	0	0	1	0	0	0	1	1	0	0	0	1
143.180612	144.736793	G:minmaj7/b3	7	10	0	0	1	0	0	0	1	1	0	0	1	0
144.736793	146.36434	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
146.36434	147.934444	D/b7	2	0	1	0	1	0	0	0	1	0	0	1	0	0
147.934444	149.504548	G:maj7/3	7	11	0	0	1	0	0	0	1	1	0	0	0	1
149.504548	151.074652	G:minmaj7/b3	7	10	0	0	1	0	0	0	1	1	0	0	1	0
151.074652	152.642743	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
152.642743	154.234008	D/b7	2	0	1	0	1	0	0	0	1	0	0	1	0	0
154.234008	155.804112	G:maj7/3	7	11	0	0	1	0	0	0	1	1	0	0	0	1
155.804112	157.356394	G:minmaj7/b3	7	10	0	0	1	0	0	0	1	1	0	0	1	0
157.356394	158.925173	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
158.925173	160.437834	D/b7	2	0	1	0	1	0	0	0	1	0	0	1	0	0
160.437834	162.065381	G:maj7/3	7	11	0	0	1	0	0	0	1	1	0	0	0	1
162.065381	163.614172	G:minmaj7/b3	7	10	0	0	1	0	0	0	1	1	0	0	1	0
163.614172	166.783696	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
166.783696	168.420702	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
168.420702	169.976439	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
169.976439	171.543449	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
171.543449	173.041473	D/b7	2	0	1	0	1	0	0	0	1	0	0	1	0	0
173.041473	174.527551	G:maj7/3	7	11	0	0	1	0	0	0	1	1	0	0	0	1
174.527551	175.978798	G:minmaj7/b3	7	10	0	0	1	0	0	0	1	1	0	0	1	0
175.978798	177.464875	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
177.464875	178.904512	D/b7	2	0	1	0	1	0	0	0	1	0	0	1	0	0
178.904512	180.367369	G:maj7/3	7	11	0	0	1	0	0	0	1	1	0	0	0	1
180.367369	181.772176	G:minmaj7/b3	7	10	0	0	1	0	0	0	1	1	0	0	1	0
181.772176	183.223424	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
183.223424	184.639841	D/b7	2	0	1	0	1	0	0	0	1	0	0	1	0	0
184.639841	186.033038	G:maj7/3	7	11	0	0	1	0	0	0	1	1	0	0	0	1
186.033038	187.507505	G:minmaj7/b3	7	10	0	0	1	0	0	0	1	1	0	0	1	0
187.507505	188.935532	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
188.935532	190.444829	D/b7	2	0	1	0	1	0	0	0	1	0	0	1	0	0
190.444829	191.803197	G:maj7/3	7	11	0	0	1	0	0	0	1	1	0	0	0	1
191.803197	193.231224	G:minmaj7/b3	7	10	0	0	1	0	0	0	1	1	0	0	1	0
