start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.07787	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.07787	0.762721	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
0.762721	1.366439	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
1.366439	1.981768	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
1.981768	4.605623	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
4.605623	5.255782	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
5.255782	5.894331	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
5.894331	6.509659	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
6.509659	9.110294	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
9.110294	9.748843	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
9.748843	10.410612	C#:dim	1	1	0	1	0	0	1	0	0	1	0	0	0	0
10.410612	11.037551	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
11.037551	11.687709	D#:dim	3	3	0	0	0	1	0	0	1	0	0	1	0	0
11.687709	12.976417	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
12.976417	14.311564	Eb:aug	3	3	0	0	0	1	0	0	0	1	0	0	0	1
14.311564	14.938503	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
14.938503	15.565442	C#:dim	1	1	0	1	0	0	1	0	0	1	0	0	0	0
15.565442	16.888979	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
16.888979	18.229155	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
18.229155	19.466394	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
19.466394	20.766712	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
20.766712	22.020589	D:sus4(b7)	2	2	1	0	1	0	0	0	0	1	0	1	0	0
22.020589	23.274467	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
23.274467	23.901405	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
23.901405	24.598004	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
24.598004	25.851882	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
25.851882	27.140589	D:sus4(b7)	2	2	1	0	1	0	0	0	0	1	0	1	0	0
27.140589	28.429297	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
28.429297	29.067845	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
29.067845	29.718004	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
29.718004	30.344943	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
30.344943	32.933968	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
32.933968	33.584126	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
33.584126	34.211065	C#:dim	1	1	0	1	0	0	1	0	0	1	0	0	0	0
34.211065	34.872834	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
34.872834	35.499773	D#:dim	3	3	0	0	0	1	0	0	1	0	0	1	0	0
35.499773	36.75365	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
36.75365	38.077188	Eb:aug	3	3	0	0	0	1	0	0	0	1	0	0	0	1
38.077188	38.727346	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
38.727346	39.365895	C#:dim	1	1	0	1	0	0	1	0	0	1	0	0	0	0
39.365895	40.631383	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
40.631383	41.9317	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
41.9317	43.197188	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
43.197188	44.439455	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
44.439455	45.670113	D:sus4(b7)	2	2	1	0	1	0	0	0	0	1	0	1	0	0
45.670113	46.95882	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
46.95882	47.620109	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
47.620109	48.25198	C/3	0	4	1	0	0	0	1	0	0	1	0	0	0	0
48.25198	48.883851	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
