start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.016849	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.016849	1.422789	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
1.422789	2.850816	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
2.850816	4.116303	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
4.116303	5.474671	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
5.474671	6.809818	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
6.809818	8.156575	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
8.156575	9.491723	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
9.491723	10.81526	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
10.81526	12.138798	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
12.138798	13.450725	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
13.450725	14.809092	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
14.809092	16.17907	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
16.17907	17.537437	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
17.537437	18.849365	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
18.849365	19.545963	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
19.545963	20.219342	F:dim	5	5	0	0	0	0	0	1	0	0	1	0	0	1
20.219342	20.904331	F#:dim	6	6	1	0	0	0	0	0	1	0	0	1	0	0
20.904331	21.600929	G:dim	7	7	0	1	0	0	0	0	0	1	0	0	1	0
21.600929	22.947687	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
22.947687	24.329274	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
24.329274	25.594761	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
25.594761	26.929909	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
26.929909	28.276666	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
28.276666	29.565374	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
29.565374	30.923741	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
30.923741	32.247278	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
32.247278	33.570816	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
33.570816	34.859523	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
34.859523	36.229501	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
36.229501	37.553038	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
37.553038	38.864965	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
38.864965	40.176893	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
40.176893	40.827052	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
40.827052	41.4656	F:dim	5	5	0	0	0	0	0	1	0	0	1	0	0	1
41.4656	42.104149	F#:dim	6	6	1	0	0	0	0	0	1	0	0	1	0	0
42.104149	42.800748	G:dim	7	7	0	1	0	0	0	0	0	1	0	0	1	0
42.800748	44.112675	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
44.112675	45.459433	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
45.459433	46.69009	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
46.69009	48.002018	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
48.002018	49.325555	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
49.325555	50.614263	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
50.614263	51.92619	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
51.92619	53.156848	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
53.156848	58.300068	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
58.300068	59.565555	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
59.565555	60.865873	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
60.865873	62.14297	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
62.14297	65.974263	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
65.974263	67.28414	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
67.28414	68.528525	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
68.528525	69.747505	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
69.747505	71.08279	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
71.08279	72.35975	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
72.35975	73.648458	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
73.648458	74.925555	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
74.925555	76.260702	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
76.260702	77.547898	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
77.547898	78.798849	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
78.798849	79.430226	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
79.430226	80.094081	F:dim	5	5	0	0	0	0	0	1	0	0	1	0	0	1
80.094081	80.725092	F#:dim	6	6	1	0	0	0	0	0	1	0	0	1	0	0
80.725092	81.380702	G:dim	7	7	0	1	0	0	0	0	0	1	0	0	1	0
81.380702	82.63458	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
82.63458	83.923287	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
83.923287	85.188775	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
85.188775	86.500702	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
86.500702	87.7778	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
87.7778	89.031678	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
89.031678	90.320385	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
90.320385	91.620702	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
91.620702	92.87458	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
92.87458	94.163287	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
94.163287	95.428775	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
95.428775	96.740702	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
96.740702	98.00619	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
98.00619	99.306507	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
99.306507	99.968276	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
99.968276	100.571995	F:dim	5	5	0	0	0	0	0	1	0	0	1	0	0	1
100.571995	101.268594	F#:dim	6	6	1	0	0	0	0	0	1	0	0	1	0	0
101.268594	101.907142	G:dim	7	7	0	1	0	0	0	0	0	1	0	0	1	0
101.907142	103.19585	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
103.19585	104.484557	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
104.484557	105.784875	Ab:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
105.784875	107.131632	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
107.131632	108.38551	Ab:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
108.38551	109.639387	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
109.639387	110.939705	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
110.939705	114.318037	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
114.318037	117.954725	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
117.954725	121.082997	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
121.082997	124.342857	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
