start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.122	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.122	6.39712	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
6.39712	9.415714	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
9.415714	10.855351	D:sus4	2	2	0	0	1	0	0	0	0	1	0	1	0	0
10.855351	12.318208	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
12.318208	15.383242	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
15.383242	16.846099	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
16.846099	18.355396	C/7	0	11	1	0	0	0	1	0	0	1	0	0	0	1
18.355396	21.42043	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
21.42043	22.952947	D:sus4	2	2	0	0	1	0	0	0	0	1	0	1	0	0
22.952947	24.439024	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
24.439024	27.457619	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
27.457619	28.990136	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
28.990136	30.487823	C/7	0	11	1	0	0	0	1	0	0	1	0	0	0	1
30.487823	33.587687	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
33.587687	35.085374	D:sus4	2	2	0	0	1	0	0	0	0	1	0	1	0	0
35.085374	36.548231	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
36.548231	39.624875	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
39.624875	41.169002	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
41.169002	42.678299	C/7	0	11	1	0	0	0	1	0	0	1	0	0	0	1
42.678299	45.720113	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
45.720113	47.29907	D:sus4	2	2	0	0	1	0	0	0	0	1	0	1	0	0
47.29907	48.761927	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
48.761927	51.803741	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
51.803741	53.382698	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
53.382698	54.868775	C/7	0	11	1	0	0	0	1	0	0	1	0	0	0	1
54.868775	57.887369	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
57.887369	59.431496	D:sus4	2	2	0	0	1	0	0	0	0	1	0	1	0	0
59.431496	60.952403	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
60.952403	63.970997	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
63.970997	65.480294	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
65.480294	67.024421	C/7	0	11	1	0	0	0	1	0	0	1	0	0	0	1
67.024421	70.054625	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
70.054625	71.552312	D:sus4	2	2	0	0	1	0	0	0	0	1	0	1	0	0
71.552312	73.096439	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
73.096439	76.173083	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
76.173083	77.71721	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
