start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	3.389127	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.389127	12.637423	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
12.637423	17.275668	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
17.275668	22.035759	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
22.035759	24.357755	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
24.357755	27.610855	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
27.610855	28.395907	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
28.395907	28.817155	E/3	4	8	0	0	0	0	1	0	0	0	1	0	0	1
28.817155	30.035034	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
30.035034	31.172811	E/5	4	11	0	0	0	0	1	0	0	0	1	0	0	1
31.172811	32.322199	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
32.322199	41.761111	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
41.761111	46.428321	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
46.428321	51.200022	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
51.200022	53.580068	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
53.580068	56.923741	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
56.923741	57.69	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
57.69	58.131179	E/3	4	8	0	0	0	0	1	0	0	0	1	0	0	1
58.131179	59.327006	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
59.327006	60.511224	E/5	4	11	0	0	0	0	1	0	0	0	1	0	0	1
60.511224	61.683832	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
61.683832	63.474331	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
63.474331	64.110317	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
64.110317	65.956303	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
65.956303	66.525192	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
66.525192	71.056785	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
71.056785	75.755124	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
75.755124	80.538435	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
80.538435	82.90687	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
82.90687	86.192494	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
86.192494	87.005192	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
87.005192	87.457981	E/3	4	8	0	0	0	0	1	0	0	0	1	0	0	1
87.457981	88.618979	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
88.618979	89.791587	E/5	4	11	0	0	0	0	1	0	0	0	1	0	0	1
89.791587	90.917755	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
90.917755	92.808471	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
92.808471	93.33263	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
93.33263	95.190226	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
95.190226	95.759115	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
95.759115	100.530816	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
100.530816	105.105147	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
105.105147	109.807188	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
109.807188	112.164013	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
112.164013	115.391587	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
115.391587	116.157845	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
116.157845	116.575804	E/3	4	8	0	0	0	0	1	0	0	0	1	0	0	1
116.575804	117.760022	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
117.760022	118.8978	E/5	4	11	0	0	0	0	1	0	0	0	1	0	0	1
118.8978	120.105238	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
120.105238	121.997664	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
121.997664	122.566553	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
122.566553	124.389319	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
124.389319	125.004648	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
125.004648	129.776349	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
129.776349	134.26941	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
134.26941	138.855351	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
138.855351	141.130907	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
141.130907	143.429682	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
143.429682	145.693628	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
145.693628	147.945963	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
147.945963	156.734716	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
156.734716	161.158117	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
161.158117	165.558299	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
165.558299	167.764195	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
167.764195	170.01653	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
170.01653	172.257256	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
172.257256	174.439931	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
174.439931	183.356394	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
183.356394	187.744965	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
187.744965	192.226417	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
192.226417	194.467142	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
194.467142	196.777528	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
196.777528	207.377437	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
207.377437	212.079478	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
212.079478	216.804739	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
216.804739	219.126734	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
219.126734	222.399504	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
222.399504	223.107966	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
223.107966	223.538526	E/3	4	8	0	0	0	0	1	0	0	0	1	0	0	1
223.538526	224.722743	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
224.722743	225.895351	E/5	4	11	0	0	0	0	1	0	0	0	1	0	0	1
225.895351	226.986689	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
226.986689	238.809007	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
238.809007	241.110204	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
