start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.363805	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.363805	2.16368	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
2.16368	4.001851	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
4.001851	5.935759	G#:hdim7	8	8	0	0	1	0	0	0	1	0	1	0	0	1
5.935759	8.424949	E:9	4	4	0	0	1	0	1	0	1	0	1	0	0	1
8.424949	9.828412	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
9.828412	11.279659	D:sus4	2	2	0	0	1	0	0	0	0	1	0	1	0	0
11.279659	12.707687	D:maj(9)	2	2	0	0	1	0	1	0	1	0	0	1	0	0
12.707687	19.708503	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
19.708503	21.15975	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
21.15975	24.062244	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
24.062244	25.501882	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
25.501882	26.895079	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
26.895079	28.381156	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
28.381156	29.785963	G#:hdim7	8	8	0	0	1	0	0	0	1	0	1	0	0	1
29.785963	31.23721	E:9	4	4	0	0	1	0	1	0	1	0	1	0	0	1
31.23721	31.898979	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
31.898979	32.630408	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
32.630408	33.338616	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
33.338616	34.035215	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
34.035215	34.743424	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
34.743424	35.463242	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
35.463242	36.206281	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
36.206281	36.914489	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
36.914489	38.330907	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
38.330907	39.758934	F/6	5	2	1	0	1	0	0	1	0	0	0	1	0	0
39.758934	41.117301	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
41.117301	42.580158	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
42.580158	43.938526	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
43.938526	45.378163	F/6	5	2	1	0	1	0	0	1	0	0	0	1	0	0
45.378163	46.74814	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
46.74814	48.141337	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
48.141337	49.615804	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
49.615804	52.437029	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
52.437029	53.818616	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
53.818616	55.246643	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
55.246643	56.639841	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
56.639841	58.056258	G#:hdim7	8	8	0	0	1	0	0	0	1	0	1	0	0	1
58.056258	59.472675	E:9	4	4	0	0	1	0	1	0	1	0	1	0	0	1
59.472675	60.180884	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
60.180884	60.900702	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
60.900702	61.608911	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
61.608911	62.31712	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
62.31712	63.071768	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
63.071768	63.733537	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
63.733537	64.395306	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
64.395306	65.173174	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
65.173174	66.612811	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
66.612811	68.006009	F/6	5	2	1	0	1	0	0	1	0	0	0	1	0	0
68.006009	69.341156	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
69.341156	70.804013	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
70.804013	72.32492	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
72.32492	73.648458	D:sus4(2)	2	2	0	0	1	0	1	0	0	1	0	1	0	0
73.648458	75.030045	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
75.030045	76.469682	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
76.469682	77.886099	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
77.886099	79.279297	D:sus4(2)	2	2	0	0	1	0	1	0	0	1	0	1	0	0
79.279297	80.695714	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
80.695714	82.100521	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
82.100521	83.505328	D:maj7	2	2	0	1	1	0	0	0	1	0	0	1	0	0
83.505328	86.291723	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
86.291723	87.68492	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
87.68492	89.043287	G:min/5	7	2	0	0	1	0	0	0	0	1	0	0	1	0
89.043287	91.934172	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
91.934172	93.397029	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
93.397029	96.218253	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
96.218253	97.704331	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
97.704331	99.143968	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
99.143968	100.583605	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
100.583605	101.941972	G#:hdim7	8	8	0	0	1	0	0	0	1	0	1	0	0	1
101.941972	103.381609	E:9	4	4	0	0	1	0	1	0	1	0	1	0	0	1
103.381609	104.124648	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
104.124648	104.798027	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
104.798027	105.517845	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
105.517845	106.179614	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
106.179614	106.899433	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
106.899433	107.572811	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
107.572811	108.31585	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
108.31585	108.977619	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
108.977619	110.405646	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
110.405646	111.787233	F/6	5	2	1	0	1	0	0	1	0	0	0	1	0	0
111.787233	113.18043	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
113.18043	114.631678	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
114.631678	116.036485	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
116.036485	117.464512	D:sus4(2)	2	2	0	0	1	0	1	0	0	1	0	1	0	0
117.464512	118.880929	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
118.880929	120.285736	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
120.285736	121.702154	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
121.702154	123.060521	D:sus4(2)	2	2	0	0	1	0	1	0	0	1	0	1	0	0
123.060521	124.523378	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
124.523378	125.928185	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
125.928185	127.321383	D:maj7	2	2	0	1	1	0	0	0	1	0	0	1	0	0
127.321383	130.142607	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
130.142607	131.570634	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
131.570634	132.963832	G:min/5	7	2	0	0	1	0	0	0	0	1	0	0	1	0
132.963832	135.796666	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
135.796666	137.201473	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
137.201473	140.045918	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
140.045918	141.508775	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
