start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.413805	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.413805	1.946938	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
1.946938	3.560725	G:(1,b3,4)/b3	7	10	1	0	0	0	0	0	0	1	0	0	1	0
3.560725	5.139682	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
5.139682	6.869569	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
6.869569	10.073922	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
10.073922	11.699319	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
11.699319	13.394376	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
13.394376	14.566984	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
14.566984	15.124263	C:9(*3)	0	0	1	0	1	0	0	0	0	1	0	0	1	0
15.124263	16.749659	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
16.749659	18.409886	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
18.409886	20.058503	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
20.058503	21.811609	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
21.811609	23.506666	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
23.506666	25.255699	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
25.255699	26.989659	G:min/5	7	2	0	0	1	0	0	0	0	1	0	0	1	0
26.989659	28.603446	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
28.603446	30.194013	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
30.194013	31.919068	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
31.919068	33.723446	G:min/5	7	2	0	0	1	0	0	0	0	1	0	0	1	0
33.723446	35.395283	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
35.395283	38.84306	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
38.84306	42.02458	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
42.02458	43.731247	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
43.731247	45.345034	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
45.345034	47.07492	G:min(4)	7	7	1	0	1	0	0	0	0	1	0	0	1	0
47.07492	48.851247	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
48.851247	50.592743	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
50.592743	52.34585	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
52.34585	54.084559	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
54.084559	55.852063	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
55.852063	57.653457	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
57.653457	59.369886	G:min/5	7	2	0	0	1	0	0	0	0	1	0	0	1	0
59.369886	61.053333	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
61.053333	62.771609	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
62.771609	64.393417	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
64.393417	66.103673	G:min/5	7	2	0	0	1	0	0	0	0	1	0	0	1	0
66.103673	67.86839	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
67.86839	74.660226	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
