start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.47077	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.47077	2.061337	G:maj7	7	7	0	0	1	0	0	0	1	1	0	0	0	1
2.061337	3.942154	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
3.942154	5.7417	G:maj7	7	7	0	0	1	0	0	0	1	1	0	0	0	1
5.7417	7.576077	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
7.576077	9.259523	G:maj7	7	7	0	0	1	0	0	0	1	1	0	0	0	1
9.259523	10.96619	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
10.96619	12.788956	G:maj7	7	7	0	0	1	0	0	0	1	1	0	0	0	1
12.788956	14.727823	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
14.727823	16.678299	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
16.678299	18.501065	B:min7	11	11	0	0	1	0	0	0	1	0	0	1	0	1
18.501065	20.381882	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
20.381882	21.35712	D:sus4	2	2	0	0	1	0	0	0	0	1	0	1	0	0
21.35712	22.285918	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
22.285918	24.259614	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
24.259614	26.2217	B:min7	11	11	0	0	1	0	0	0	1	0	0	1	0	1
26.2217	27.974807	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
27.974807	29.716303	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
29.716303	31.5739	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
31.5739	33.466326	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
33.466326	35.172993	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
35.172993	37.065419	D/3	2	6	0	0	1	0	0	0	1	0	0	1	0	0
37.065419	38.923015	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
38.923015	40.815442	B:min7	11	11	0	0	1	0	0	0	1	0	0	1	0	1
40.815442	44.542244	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
