start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.440395	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.440395	2.795551	E:aug	4	4	1	0	0	0	1	0	0	0	1	0	0	0
2.795551	7.180354	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
7.180354	11.302879	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
11.302879	15.447641	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
15.447641	19.627233	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
19.627233	21.670589	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
21.670589	23.795215	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
23.795215	25.850181	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
25.850181	28.009637	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
28.009637	29.925283	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
29.925283	31.898979	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
31.898979	33.826235	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
33.826235	35.962471	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
35.962471	40.142063	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
40.142063	44.286825	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
44.286825	48.466417	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
48.466417	52.587959	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
52.587959	54.666145	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
54.666145	56.755941	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
56.755941	58.868956	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
58.868956	60.935532	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
60.935532	62.932448	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
62.932448	64.871315	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
64.871315	66.786961	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
66.786961	68.714217	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
68.714217	72.777709	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
72.777709	76.934081	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
76.934081	85.142335	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
85.142335	93.362199	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
93.362199	95.417165	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
95.417165	97.437301	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
97.437301	99.47184	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
99.47184	101.582063	E:aug	4	4	1	0	0	0	1	0	0	0	1	0	0	0
101.582063	105.912585	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
105.912585	110.127006	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
110.127006	114.341428	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
114.341428	118.48619	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
118.48619	120.587596	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
120.587596	122.747052	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
122.747052	124.848458	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
124.848458	126.961473	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
126.961473	128.94678	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
128.94678	130.932086	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
130.932086	132.882562	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
132.882562	134.821428	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
134.821428	138.98941	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
138.98941	143.064512	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
143.064512	151.330816	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
151.330816	159.5739	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
159.5739	161.617256	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
161.617256	163.614172	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
163.614172	165.750408	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
165.750408	168.049183	E:aug	4	4	1	0	0	0	1	0	0	0	1	0	0	0
168.049183	172.263605	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
172.263605	176.489637	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
176.489637	180.622789	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
180.622789	184.88365	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
184.88365	186.985056	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
186.985056	189.109682	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
189.109682	191.176258	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
191.176258	193.277664	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
193.277664	195.27458	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
195.27458	197.283106	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
197.283106	198.397664	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
198.397664	199.047823	Bb:7	10	10	0	0	1	0	0	1	0	0	1	0	1	0
199.047823	204.285864	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
204.285864	206.706939	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
