start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.421247	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.421247	1.945238	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
1.945238	2.235487	B:9	11	11	0	1	0	1	0	0	1	0	0	1	0	1
2.235487	4.441383	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
4.441383	4.754852	E/5	4	11	0	0	0	0	1	0	0	0	1	0	0	1
4.754852	5.045102	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
5.045102	5.393401	D#	3	3	0	0	0	1	0	0	0	1	0	0	1	0
5.393401	6.658888	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
6.658888	7.935986	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
7.935986	9.201473	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
9.201473	10.501791	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
10.501791	12.498707	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
12.498707	13.148866	E/7	4	3	0	0	0	1	1	0	0	0	1	0	0	1
13.148866	15.122562	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
15.122562	15.795941	C#:min/b7	1	11	0	1	0	0	1	0	0	0	1	0	0	1
15.795941	18.419795	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
18.419795	21.06687	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
21.06687	23.028956	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
23.028956	23.667505	E/7	4	3	0	0	0	1	1	0	0	0	1	0	0	1
23.667505	25.664421	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
25.664421	26.31458	C#:min/b7	1	11	0	1	0	0	1	0	0	0	1	0	0	1
26.31458	28.938435	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
28.938435	31.5739	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
31.5739	36.125011	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
36.125011	36.78678	C#:min/b7	1	11	0	1	0	0	1	0	0	0	1	0	0	1
36.78678	39.433854	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
39.433854	42.034489	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
42.034489	43.996575	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
43.996575	44.611904	E/7	4	3	0	0	0	1	1	0	0	0	1	0	0	1
44.611904	46.53916	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
46.53916	47.177709	C#:min/b7	1	11	0	1	0	0	1	0	0	0	1	0	0	1
47.177709	48.524467	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
48.524467	49.778344	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
49.778344	52.460249	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
52.460249	54.387505	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
54.387505	55.026054	E/7	4	3	0	0	0	1	1	0	0	0	1	0	0	1
55.026054	57.03458	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
57.03458	57.661519	C#:min/b7	1	11	0	1	0	0	1	0	0	0	1	0	0	1
57.661519	60.331814	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
60.331814	62.932448	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
62.932448	64.917755	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
64.917755	65.544693	E/7	4	3	0	0	0	1	1	0	0	0	1	0	0	1
65.544693	67.57192	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
67.57192	68.180158	C#:min/b7	1	11	0	1	0	0	1	0	0	0	1	0	0	1
68.180158	70.804013	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
70.804013	73.369818	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
73.369818	77.955759	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
77.955759	78.594308	C#:min/b7	1	11	0	1	0	0	1	0	0	0	1	0	0	1
78.594308	81.206553	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
81.206553	83.818798	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
83.818798	85.722834	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
85.722834	86.396213	E/7	4	3	0	0	0	1	1	0	0	0	1	0	0	1
86.396213	88.346689	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
88.346689	88.962018	C#:min/b7	1	11	0	1	0	0	1	0	0	0	1	0	0	1
88.962018	90.308775	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
90.308775	91.551043	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
91.551043	94.174897	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
94.174897	96.787142	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
96.787142	99.341337	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
99.341337	101.930362	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
101.930362	104.484557	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
104.484557	107.027142	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
107.027142	109.604557	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
109.604557	110.893265	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
110.893265	112.193582	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
112.193582	113.48229	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
113.48229	114.747777	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
114.747777	117.360022	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
117.360022	119.634275	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
119.634275	119.972267	C#:min/b7	1	11	0	1	0	0	1	0	0	0	1	0	0	1
119.972267	122.584512	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
122.584512	125.173537	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
125.173537	127.140138	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
127.140138	127.797392	E/7	4	3	0	0	0	1	1	0	0	0	1	0	0	1
127.797392	129.725066	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
129.725066	130.386417	C#:min/b7	1	11	0	1	0	0	1	0	0	0	1	0	0	1
130.386417	132.975442	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
132.975442	135.599297	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
135.599297	140.115578	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
140.115578	140.765736	C#:min/b7	1	11	0	1	0	0	1	0	0	0	1	0	0	1
140.765736	143.447641	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
143.447641	146.025056	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
146.025056	147.953592	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
147.953592	148.614081	E/7	4	3	0	0	0	1	1	0	0	0	1	0	0	1
148.614081	150.461929	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
150.461929	151.203106	C#:min/b7	1	11	0	1	0	0	1	0	0	0	1	0	0	1
151.203106	152.468594	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
152.468594	153.734081	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
153.734081	155.631784	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
155.631784	156.288276	C#:min/b7	1	11	0	1	0	0	1	0	0	0	1	0	0	1
156.288276	157.588594	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
157.588594	158.842471	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
158.842471	160.734897	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
160.734897	161.373446	C#:min/b7	1	11	0	1	0	0	1	0	0	0	1	0	0	1
161.373446	162.662154	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
162.662154	163.939251	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
163.939251	165.576258	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
165.576258	165.959387	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
165.959387	168.307502	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
168.307502	171.180408	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
